__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset
1782548311.785682,,,,3858.000000000,408.000000000,0.000000000
1782548311.785711,0.131850451,0.341118991,0.000000000,,,
1782548311.795730,,,,3823.000000000,396.000000000,0.000000000
1782548311.795756,0.131850451,0.341118991,0.000000000,,,
1782548311.805670,,,,3829.000000000,356.000000000,0.000000000
1782548311.805697,0.131826475,0.341071039,0.000000000,,,
1782548311.815679,,,,3882.000000000,423.000000000,0.000000000
1782548311.815692,0.131826475,0.341071039,0.000000000,,,
1782548311.825612,,,,3795.000000000,346.000000000,0.000000000
1782548311.825632,0.131850451,0.341047078,0.000000000,,,
1782548311.835681,,,,3913.000000000,446.000000000,0.000000000
1782548311.835711,0.131850451,0.341142952,0.000000000,,,
1782548311.845715,,,,3803.000000000,357.000000000,0.000000000
1782548311.845740,0.131850451,0.341142952,0.000000000,,,
1782548311.855466,,,,3814.000000000,371.000000000,0.000000000
1782548311.855486,0.131850451,0.341118991,0.000000000,,,
1782548311.865560,,,,3857.000000000,410.000000000,0.000000000
1782548311.865574,0.131850451,0.341071039,0.000000000,,,
1782548311.875631,0.131826475,0.341047078,0.000000000,,,
1782548311.875645,,,,3853.000000000,388.000000000,0.000000000
1782548311.885674,,,,3846.000000000,365.000000000,0.000000000
1782548311.885691,0.131826475,0.341118991,0.000000000,,,
1782548311.895645,,,,3858.000000000,418.000000000,0.000000000
1782548311.895656,0.131850451,0.341118991,0.000000000,,,
1782548311.905750,,,,3862.000000000,419.000000000,0.000000000
1782548311.905782,0.131850451,0.341118991,0.000000000,,,
1782548311.915868,,,,3872.000000000,407.000000000,0.000000000
1782548311.915888,0.131826475,0.341071039,0.000000000,,,
1782548311.925792,,,,3833.000000000,388.000000000,0.000000000
1782548311.925844,0.131850451,0.341071039,0.000000000,,,
1782548311.935664,,,,3881.000000000,424.000000000,0.000000000
1782548311.935701,0.131826475,0.341071039,0.000000000,,,
1782548311.945722,,,,3831.000000000,380.000000000,0.000000000
1782548311.945750,0.131826475,0.341118991,0.000000000,,,
1782548311.955571,,,,3868.000000000,395.000000000,0.000000000
1782548311.955600,0.131850451,0.341118991,0.000000000,,,
1782548311.965579,,,,3838.000000000,372.000000000,0.000000000
1782548311.965606,0.131850451,0.341095030,0.000000000,,,
1782548311.975572,,,,3815.000000000,352.000000000,0.000000000
1782548311.975646,0.131850451,0.341071039,0.000000000,,,
1782548311.985618,,,,3845.000000000,395.000000000,0.000000000
1782548311.985653,0.131850451,0.341071039,0.000000000,,,
1782548311.995629,,,,3846.000000000,396.000000000,0.000000000
1782548311.995656,0.131850451,0.341095030,0.000000000,,,
1782548312.005668,,,,3864.000000000,388.000000000,0.000000000
