__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset
1782642344.627357,,,,2570.000000000,422.000000000,0.000000000
1782642344.627388,0.059082229,-0.073319435,0.000000000,,,
1782642344.637284,,,,2553.000000000,358.000000000,0.000000000
1782642344.637319,0.059034295,-0.073343277,0.000000000,,,
1782642344.647228,,,,2580.000000000,397.000000000,0.000000000
1782642344.647246,0.058986358,-0.073343277,0.000000000,,,
1782642344.657173,,,,2582.000000000,431.000000000,0.000000000
1782642344.657186,0.059010327,-0.073343277,0.000000000,,,
1782642344.667398,,,,2565.000000000,377.000000000,0.000000000
1782642344.667458,0.059010327,-0.073343277,0.000000000,,,
1782642344.677328,,,,2563.000000000,388.000000000,0.000000000
1782642344.677360,0.059106197,-0.073343277,0.000000000,,,
1782642344.687195,,,,2584.000000000,393.000000000,0.000000000
1782642344.687218,0.059058260,-0.073343277,0.000000000,,,
1782642344.697197,,,,2597.000000000,388.000000000,0.000000000
1782642344.697219,0.059034295,-0.073343277,0.000000000,,,
1782642344.707105,0.058962390,-0.073343277,0.000000000,,,
1782642344.707111,,,,2578.000000000,369.000000000,0.000000000
1782642344.717157,,,,2563.000000000,376.000000000,0.000000000
1782642344.717181,0.058986358,-0.073343277,0.000000000,,,
1782642344.727320,,,,2581.000000000,377.000000000,0.000000000
1782642344.727339,0.059010327,-0.073343277,0.000000000,,,
1782642344.737307,,,,2562.000000000,365.000000000,0.000000000
1782642344.737327,0.059034295,-0.073343277,0.000000000,,,
1782642344.747339,,,,2553.000000000,375.000000000,0.000000000
1782642344.747370,0.059082229,-0.073343277,0.000000000,,,
1782642344.757285,,,,2582.000000000,393.000000000,0.000000000
1782642344.757300,0.059034295,-0.073343277,0.000000000,,,
1782642344.767321,,,,2580.000000000,380.000000000,0.000000000
1782642344.767350,0.058938421,-0.073343277,0.000000000,,,
1782642344.777269,,,,2563.000000000,344.000000000,0.000000000
1782642344.777290,0.058986358,-0.073319435,0.000000000,,,
1782642344.787184,,,,2573.000000000,377.000000000,0.000000000
1782642344.787207,0.059010327,-0.073319435,0.000000000,,,
1782642344.797269,,,,2582.000000000,392.000000000,0.000000000
1782642344.797293,0.059010327,-0.073319435,0.000000000,,,
1782642344.807241,,,,2573.000000000,388.000000000,0.000000000
1782642344.807256,0.059082229,-0.073343277,0.000000000,,,
1782642344.817204,,,,2546.000000000,352.000000000,0.000000000
1782642344.817230,0.059034295,-0.073343277,0.000000000,,,
1782642344.827253,,,,2576.000000000,379.000000000,0.000000000
1782642344.827267,0.058986358,-0.073343277,0.000000000,,,
1782642344.837221,,,,2566.000000000,380.000000000,0.000000000
1782642344.837241,0.058986358,-0.073343277,0.000000000,,,
1782642344.847181,,,,2589.000000000,389.000000000,0.000000000
1782642344.847205,0.059010327,-0.073343277,0.000000000,,,
1782642344.857054,,,,2557.000000000,358.000000000,0.000000000
1782642344.857071,0.059034295,-0.073343277,0.000000000,,,
1782642344.867160,,,,2578.000000000,385.000000000,0.000000000
1782642344.867172,0.059034295,-0.073343277,0.000000000,,,
1782642344.877258,,,,2533.000000000,357.000000000,0.000000000
1782642344.877271,0.059034295,-0.073343277,0.000000000,,,
1782642344.887176,,,,2550.000000000,364.000000000,0.000000000
1782642344.887191,0.058986358,-0.073319435,0.000000000,,,
1782642344.897157,,,,2596.000000000,388.000000000,0.000000000
1782642344.897172,0.058986358,-0.073343277,0.000000000,,,
1782642344.907292,,,,2565.000000000,367.000000000,0.000000000
1782642344.907325,0.059010327,-0.073343277,0.000000000,,,
1782642344.917241,,,,2600.000000000,396.000000000,0.000000000
1782642344.917268,0.059034295,-0.073343277,0.000000000,,,
1782642344.927192,,,,2550.000000000,397.000000000,0.000000000
1782642344.927208,0.059082229,-0.073343277,0.000000000,,,
1782642344.937154,,,,2561.000000000,387.000000000,0.000000000
1782642344.937166,0.059034295,-0.073343277,0.000000000,,,
1782642344.947110,,,,2558.000000000,376.000000000,0.000000000
1782642344.947125,0.058962390,-0.073319435,0.000000000,,,
1782642344.957083,,,,2576.000000000,375.000000000,0.000000000
1782642344.957101,0.058986358,-0.073343277,0.000000000,,,
1782642344.967152,,,,2553.000000000,375.000000000,0.000000000
1782642344.967165,0.059010327,-0.073343277,0.000000000,,,
1782642344.977247,,,,2555.000000000,400.000000000,0.000000000
1782642344.977261,0.059034295,-0.073343277,0.000000000,,,
1782642344.987198,,,,2581.000000000,358.000000000,0.000000000
1782642344.987211,0.059058260,-0.073343277,0.000000000,,,
1782642344.997299,,,,2566.000000000,384.000000000,0.000000000
1782642344.997312,0.059034295,-0.073319435,0.000000000,,,
1782642345.007299,,,,2576.000000000,383.000000000,0.000000000
1782642345.007312,0.059010327,-0.073343277,0.000000000,,,
1782642345.017329,,,,2547.000000000,385.000000000,0.000000000
1782642345.017351,0.058962390,-0.073319435,0.000000000,,,
1782642345.027354,,,,2586.000000000,397.000000000,0.000000000
1782642345.027369,0.059010327,-0.073319435,0.000000000,,,
1782642345.037326,,,,2612.000000000,383.000000000,0.000000000
1782642345.037339,0.059034295,-0.073319435,0.000000000,,,
1782642345.047189,,,,2557.000000000,383.000000000,0.000000000
1782642345.047201,0.059034295,-0.073319435,0.000000000,,,
1782642345.057218,,,,2565.000000000,372.000000000,0.000000000
1782642345.057230,0.059034295,-0.073343277,0.000000000,,,
1782642345.067223,,,,2545.000000000,371.000000000,0.000000000
1782642345.067235,0.058986358,-0.073343277,0.000000000,,,
1782642345.077200,,,,2538.000000000,400.000000000,0.000000000
1782642345.077213,0.058986358,-0.073319435,0.000000000,,,
1782642345.087292,,,,2554.000000000,403.000000000,0.000000000
1782642345.087306,0.059010327,-0.073319435,0.000000000,,,
1782642345.097217,,,,2541.000000000,385.000000000,0.000000000
1782642345.097229,0.059010327,-0.073343277,0.000000000,,,
1782642345.107181,,,,2570.000000000,365.000000000,0.000000000
1782642345.107193,0.059058260,-0.073319435,0.000000000,,,
1782642345.117151,,,,2569.000000000,346.000000000,0.000000000
1782642345.117162,0.059034295,-0.073319435,0.000000000,,,
1782642345.127070,,,,2567.000000000,367.000000000,0.000000000
1782642345.127083,0.059010327,-0.073319435,0.000000000,,,
1782642345.137248,,,,2554.000000000,403.000000000,0.000000000
1782642345.137272,0.058986358,-0.073319435,0.000000000,,,
1782642345.147145,,,,2553.000000000,431.000000000,0.000000000
1782642345.147158,0.059010327,-0.073319435,0.000000000,,,
1782642345.157027,,,,2578.000000000,407.000000000,0.000000000
1782642345.157039,0.059034295,-0.073319435,0.000000000,,,
1782642345.167119,,,,2565.000000000,365.000000000,0.000000000
1782642345.167132,0.059010327,-0.073319435,0.000000000,,,
1782642345.177098,,,,2549.000000000,340.000000000,0.000000000
1782642345.177109,0.059010327,-0.073319435,0.000000000,,,
1782642345.187121,,,,2563.000000000,342.000000000,0.000000000
1782642345.187134,0.059010327,-0.073319435,0.000000000,,,
1782642345.197235,,,,2563.000000000,371.000000000,0.000000000
1782642345.197252,0.058938421,-0.073343277,0.000000000,,,
1782642345.207199,,,,2578.000000000,389.000000000,0.000000000
1782642345.207212,0.058962390,-0.073343277,0.000000000,,,
1782642345.217228,,,,2558.000000000,385.000000000,0.000000000
1782642345.217240,0.058986358,-0.073343277,0.000000000,,,
1782642345.227213,,,,2582.000000000,430.000000000,0.000000000
1782642345.227225,0.059010327,-0.073319435,0.000000000,,,
1782642345.237181,,,,2557.000000000,438.000000000,0.000000000
1782642345.237193,0.059010327,-0.073319435,0.000000000,,,
1782642345.247190,,,,2554.000000000,338.000000000,0.000000000
1782642345.247203,0.059010327,-0.073343277,0.000000000,,,
1782642345.257108,,,,2582.000000000,356.000000000,0.000000000
1782642345.257120,0.059010327,-0.073319435,0.000000000,,,
1782642345.267267,,,,2584.000000000,360.000000000,0.000000000
1782642345.267289,0.059010327,-0.073319435,0.000000000,,,
1782642345.277140,,,,2576.000000000,346.000000000,0.000000000
1782642345.277155,0.059034295,-0.073319435,0.000000000,,,
1782642345.287219,,,,2592.000000000,358.000000000,0.000000000
1782642345.287231,0.059034295,-0.073343277,0.000000000,,,
1782642345.297240,,,,2632.000000000,393.000000000,0.000000000
1782642345.297252,0.059010327,-0.073319435,0.000000000,,,
1782642345.307233,,,,2654.000000000,431.000000000,0.000000000
1782642345.307245,0.059010327,-0.073319435,0.000000000,,,
1782642345.317210,,,,2623.000000000,450.000000000,0.000000000
1782642345.317222,0.058962390,-0.073319435,0.000000000,,,
1782642345.327160,,,,2574.000000000,445.000000000,0.000000000
1782642345.327172,0.058986358,-0.073319435,0.000000000,,,
1782642345.337189,,,,2565.000000000,393.000000000,0.000000000
1782642345.337202,0.058986358,-0.073343277,0.000000000,,,
1782642345.347209,,,,2559.000000000,354.000000000,0.000000000
1782642345.347222,0.059058260,-0.073319435,0.000000000,,,
1782642345.357191,,,,2518.000000000,346.000000000,0.000000000
1782642345.357203,0.059034295,-0.073319435,0.000000000,,,
1782642345.367189,,,,2565.000000000,334.000000000,0.000000000
1782642345.367202,0.059010327,-0.073343277,0.000000000,,,
1782642345.377086,,,,2597.000000000,371.000000000,0.000000000
1782642345.377099,0.058962390,-0.073319435,0.000000000,,,
1782642345.387216,,,,2683.000000000,403.000000000,0.000000000
