__time,/debug_geometry/a,/debug_geometry/b,/debug_geometry/c,/debug_geometry/d,/debug_geometry/e,/debug_geometry/f,/debug_geometry/fc,/debug_geometry/lw,/debug_geometry/w
1782808471.840722,0.000000000,0.248082899,0.996807983,0.920077046,0.156509481,0.000557737,74525.234397848,3.918528451,10.607424459
1782808471.850206,0.000000000,0.248082285,0.996806576,0.920077046,0.156518180,0.000557729,74496.814631052,3.918535449,10.603204796
1782808471.860182,0.000000000,0.248082285,0.996806576,0.920077046,0.156518180,0.000557729,74493.495147993,3.918535449,10.602732330
1782808471.870213,0.000000000,0.248098824,0.996844480,0.920074476,0.156517761,0.000557729,74469.080340412,3.918535449,10.599257347
1782808471.880727,0.000000000,0.248098824,0.996844480,0.920074476,0.156517761,0.000557729,74395.835917669,3.918535449,10.588832396
1782808471.890388,0.000000000,0.248100052,0.996847294,0.920074476,0.156500363,0.000557745,74395.835917669,3.918521451,10.589181090
1782808471.900179,0.000000000,0.248082899,0.996807983,0.920077046,0.156509481,0.000557737,74475.719357666,3.918528451,10.600376818
1782808471.910217,0.000000000,0.248082899,0.996807983,0.920077046,0.156509481,0.000557737,74399.155400729,3.918528451,10.589479216
1782808471.920159,0.000000000,0.248098824,0.996844480,0.920074476,0.156517761,0.000557729,74399.155400729,3.918535449,10.589304862
1782808471.930193,0.000000000,0.248098824,0.996844480,0.920074476,0.156517761,0.000557729,74395.835917669,3.918535449,10.588832396
1782808471.940201,0.000000000,0.248082285,0.996806576,0.920077046,0.156518180,0.000557729,74322.591494927,3.918535449,10.578407446
1782808471.950113,0.000000000,0.248082899,0.996807983,0.920077046,0.156509481,0.000557737,74322.591494927,3.918528451,10.578581620
1782808471.960196,0.000000000,0.248082285,0.996806576,0.920077046,0.156518180,0.000557729,74325.910977987,3.918535449,10.578879911
1782808471.970207,0.000000000,0.248098824,0.996844480,0.920074476,0.156517761,0.000557729,74200.517457023,3.918535449,10.561032528
1782808471.980309,0.000000000,0.248098824,0.996844480,0.920074476,0.156517761,0.000557729,74200.517457023,3.918535449,10.561032528
