__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset
1782819247.126851,,,,4103.000000000,371.000000000,0.000000000
1782819247.126881,0.007526094,-0.034514427,0.000000000,,,
1782819247.136773,,,,4049.000000000,302.000000000,0.000000000
1782819247.136792,0.007550062,-0.034490585,0.000000000,,,
1782819247.146814,,,,4161.000000000,402.000000000,0.000000000
1782819247.146824,0.007550062,-0.034490585,0.000000000,,,
1782819247.156823,,,,4165.000000000,414.000000000,0.000000000
1782819247.156845,0.007526094,-0.034466743,0.000000000,,,
1782819247.166738,,,,4155.000000000,418.000000000,0.000000000
1782819247.166754,0.007526094,-0.034538746,0.000000000,,,
1782819247.176805,,,,4134.000000000,376.000000000,0.000000000
1782819247.176831,0.007526094,-0.034538746,0.000000000,,,
1782819247.186763,,,,4114.000000000,403.000000000,0.000000000
1782819247.186774,0.007550062,-0.034514427,0.000000000,,,
1782819247.196758,,,,4123.000000000,387.000000000,0.000000000
1782819247.196771,0.007550062,-0.034490585,0.000000000,,,
1782819247.206606,,,,4118.000000000,360.000000000,0.000000000
1782819247.206619,0.007550062,-0.034490585,0.000000000,,,
1782819247.216575,,,,4155.000000000,403.000000000,0.000000000
1782819247.216588,0.007574030,-0.034514427,0.000000000,,,
1782819247.226626,,,,4058.000000000,315.000000000,0.000000000
1782819247.226639,0.007526094,-0.034514427,0.000000000,,,
1782819247.236659,,,,4073.000000000,325.000000000,0.000000000
1782819247.236673,0.007526094,-0.034514427,0.000000000,,,
1782819247.246687,,,,4111.000000000,364.000000000,0.000000000
1782819247.246700,0.007550062,-0.034490585,0.000000000,,,
1782819247.256582,,,,4138.000000000,399.000000000,0.000000000
1782819247.256601,0.007550062,-0.034490585,0.000000000,,,
1782819247.266599,,,,4141.000000000,392.000000000,0.000000000
1782819247.266613,0.007550062,-0.034490585,0.000000000,,,
1782819247.276659,,,,4142.000000000,404.000000000,0.000000000
1782819247.276671,0.007550062,-0.034514427,0.000000000,,,
1782819247.286540,,,,4175.000000000,411.000000000,0.000000000
1782819247.286553,0.007526094,-0.034514427,0.000000000,,,
1782819247.296721,,,,4145.000000000,393.000000000,0.000000000
1782819247.296735,0.007526094,-0.034514427,0.000000000,,,
1782819247.306705,,,,4146.000000000,399.000000000,0.000000000
1782819247.306717,0.007550062,-0.034514427,0.000000000,,,
1782819247.316523,,,,4115.000000000,389.000000000,0.000000000
1782819247.316536,0.007550062,-0.034514427,0.000000000,,,
1782819247.326637,,,,4139.000000000,400.000000000,0.000000000
1782819247.326651,0.007550062,-0.034538746,0.000000000,,,
1782819247.336674,,,,4100.000000000,368.000000000,0.000000000
1782819247.336687,0.007502125,-0.034514427,0.000000000,,,
1782819247.346585,,,,4107.000000000,367.000000000,0.000000000
1782819247.346596,0.007526094,-0.034514427,0.000000000,,,
1782819247.356644,,,,4151.000000000,389.000000000,0.000000000
1782819247.356656,0.007526094,-0.034514427,0.000000000,,,
1782819247.366625,,,,4131.000000000,392.000000000,0.000000000
1782819247.366637,0.007478157,-0.034514427,0.000000000,,,
1782819247.376566,,,,4123.000000000,395.000000000,0.000000000
1782819247.376579,0.007526094,-0.034514427,0.000000000,,,
1782819247.386493,,,,4157.000000000,399.000000000,0.000000000
1782819247.386511,0.007550062,-0.034514427,0.000000000,,,
1782819247.396523,,,,4107.000000000,361.000000000,0.000000000
1782819247.396535,0.007550062,-0.034490585,0.000000000,,,
1782819247.406613,,,,4111.000000000,380.000000000,0.000000000
1782819247.406625,0.007526094,-0.034514427,0.000000000,,,
1782819247.416548,,,,4135.000000000,383.000000000,0.000000000
1782819247.416561,0.007526094,-0.034538746,0.000000000,,,
1782819247.426541,,,,4162.000000000,434.000000000,0.000000000
1782819247.426553,0.007526094,-0.034514427,0.000000000,,,
1782819247.436519,,,,4139.000000000,395.000000000,0.000000000
1782819247.436532,0.007550062,-0.034490585,0.000000000,,,
1782819247.446486,,,,4146.000000000,364.000000000,0.000000000
1782819247.446497,0.007550062,-0.034490585,0.000000000,,,
1782819247.456531,,,,4132.000000000,395.000000000,0.000000000
1782819247.456544,0.007550062,-0.034490585,0.000000000,,,
1782819247.466466,,,,4149.000000000,381.000000000,0.000000000
1782819247.466476,0.007550062,-0.034514427,0.000000000,,,
1782819247.476559,,,,4139.000000000,400.000000000,0.000000000
1782819247.476570,0.007526094,-0.034514427,0.000000000,,,
1782819247.486475,,,,4114.000000000,367.000000000,0.000000000
1782819247.486486,0.007526094,-0.034514427,0.000000000,,,
1782819247.496488,,,,4165.000000000,404.000000000,0.000000000
1782819247.496500,0.007526094,-0.034514427,0.000000000,,,
1782819247.506525,,,,4153.000000000,383.000000000,0.000000000
1782819247.506537,0.007550062,-0.034490585,0.000000000,,,
1782819247.516609,0.007526094,-0.034514427,0.000000000,,,
1782819247.516641,,,,4139.000000000,387.000000000,0.000000000
1782819247.526513,,,,4147.000000000,410.000000000,0.000000000
1782819247.526526,0.007526094,-0.034514427,0.000000000,,,
1782819247.536433,,,,4134.000000000,396.000000000,0.000000000
1782819247.536445,0.007526094,-0.034514427,0.000000000,,,
1782819247.546511,,,,4162.000000000,418.000000000,0.000000000
1782819247.546527,0.007526094,-0.034538746,0.000000000,,,
1782819247.556663,,,,4181.000000000,416.000000000,0.000000000
1782819247.556691,0.007526094,-0.034466743,0.000000000,,,
1782819247.566510,,,,4107.000000000,376.000000000,0.000000000
1782819247.566524,0.007526094,-0.034490585,0.000000000,,,
1782819247.576763,,,,4130.000000000,402.000000000,0.000000000
1782819247.576776,0.007550062,-0.034490585,0.000000000,,,
1782819247.586609,,,,4143.000000000,371.000000000,0.000000000
1782819247.586623,0.007526094,-0.034514427,0.000000000,,,
1782819247.596616,,,,4136.000000000,402.000000000,0.000000000
1782819247.596626,0.007502125,-0.034514427,0.000000000,,,
1782819247.606709,,,,4193.000000000,418.000000000,0.000000000
1782819247.606730,0.007502125,-0.034514427,0.000000000,,,
1782819247.616565,0.007550062,-0.034490585,0.000000000,,,
1782819247.616574,,,,4175.000000000,391.000000000,0.000000000
1782819247.626791,,,,4167.000000000,431.000000000,0.000000000
1782819247.626802,0.007550062,-0.034466743,0.000000000,,,
1782819247.636654,,,,4151.000000000,396.000000000,0.000000000
1782819247.636673,0.007550062,-0.034538746,0.000000000,,,
1782819247.646625,,,,4165.000000000,369.000000000,0.000000000
1782819247.646638,0.007526094,-0.034514427,0.000000000,,,
1782819247.656605,,,,4159.000000000,411.000000000,0.000000000
1782819247.656619,0.007526094,-0.034514427,0.000000000,,,
1782819247.666656,,,,4123.000000000,363.000000000,0.000000000
1782819247.666671,0.007526094,-0.034466743,0.000000000,,,
1782819247.676777,,,,4104.000000000,384.000000000,0.000000000
1782819247.676805,0.007526094,-0.034490585,0.000000000,,,
1782819247.686847,,,,4157.000000000,420.000000000,0.000000000
1782819247.686894,0.007550062,-0.034442902,0.000000000,,,
1782819247.696815,,,,4147.000000000,392.000000000,0.000000000
1782819247.696836,0.007526094,-0.034538746,0.000000000,,,
1782819247.706785,,,,4100.000000000,369.000000000,0.000000000
1782819247.706799,0.007526094,-0.034514427,0.000000000,,,
1782819247.716716,,,,4134.000000000,402.000000000,0.000000000
1782819247.716728,0.007526094,-0.034514427,0.000000000,,,
1782819247.726766,,,,4155.000000000,396.000000000,0.000000000
1782819247.726778,0.007526094,-0.034466743,0.000000000,,,
1782819247.736818,,,,4143.000000000,391.000000000,0.000000000
1782819247.736835,0.007526094,-0.034490585,0.000000000,,,
1782819247.746842,,,,4124.000000000,404.000000000,0.000000000
1782819247.746871,0.007526094,-0.034538746,0.000000000,,,
1782819247.756879,,,,4103.000000000,332.000000000,0.000000000
1782819247.756927,0.007526094,-0.034538746,0.000000000,,,
1782819247.766605,,,,4166.000000000,419.000000000,0.000000000
1782819247.766619,0.007526094,-0.034538746,0.000000000,,,
1782819247.776815,,,,4042.000000000,305.000000000,0.000000000
1782819247.776835,0.007502125,-0.034466743,0.000000000,,,
1782819247.786634,,,,4155.000000000,399.000000000,0.000000000
1782819247.786648,0.007502125,-0.034466743,0.000000000,,,
1782819247.796765,,,,4068.000000000,333.000000000,0.000000000
1782819247.796777,0.007526094,-0.034466743,0.000000000,,,
1782819247.806725,,,,4141.000000000,369.000000000,0.000000000
1782819247.806737,0.007526094,-0.034514427,0.000000000,,,
1782819247.816643,,,,4120.000000000,383.000000000,0.000000000
1782819247.816657,0.007550062,-0.034514427,0.000000000,,,
1782819247.826705,,,,4091.000000000,349.000000000,0.000000000
1782819247.826718,0.007526094,-0.034490585,0.000000000,,,
1782819247.836676,,,,4161.000000000,399.000000000,0.000000000
1782819247.836692,0.007526094,-0.034466743,0.000000000,,,
1782819247.846745,,,,4128.000000000,373.000000000,0.000000000
1782819247.846758,0.007526094,-0.034466743,0.000000000,,,
1782819247.856818,,,,4141.000000000,403.000000000,0.000000000
1782819247.856865,0.007526094,-0.034538746,0.000000000,,,
1782819247.866628,,,,4155.000000000,396.000000000,0.000000000
1782819247.866647,0.007526094,-0.034538746,0.000000000,,,
1782819247.876707,,,,4185.000000000,426.000000000,0.000000000
1782819247.876728,0.007526094,-0.034514427,0.000000000,,,
1782819247.886690,,,,4130.000000000,361.000000000,0.000000000
1782819247.886702,0.007526094,-0.034466743,0.000000000,,,
1782819247.896601,,,,4138.000000000,403.000000000,0.000000000
1782819247.896613,0.007502125,-0.034466743,0.000000000,,,
1782819247.906672,,,,4179.000000000,414.000000000,0.000000000
1782819247.906684,0.007550062,-0.034490585,0.000000000,,,
1782819247.916531,,,,4146.000000000,385.000000000,0.000000000
1782819247.916543,0.007550062,-0.034514427,0.000000000,,,
1782819247.926608,,,,4159.000000000,383.000000000,0.000000000
1782819247.926619,0.007550062,-0.034538746,0.000000000,,,
1782819247.936580,,,,4169.000000000,408.000000000,0.000000000
1782819247.936592,0.007550062,-0.034466743,0.000000000,,,
1782819247.946466,,,,4122.000000000,369.000000000,0.000000000
