__time,/debug/f,/debug/fc,/debug/lw,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_i,/debug/w
1783004517.353274,0.000000000,0.000000000,0.000000000,5099032.563249611,531022.064882351,-0.677649938,0.000000000,5286.349037034
1783004517.363358,0.000000000,0.000000000,0.000000000,5052644.428846095,496841.334269234,-0.677649938,0.000000000,5261.231200421
1783004517.373356,0.000000000,0.000000000,0.000000000,5079500.717184973,498062.074648274,-0.677649938,0.000000000,5290.307826500
1783004517.383335,0.000000000,0.000000000,0.000000000,4985503.707998902,411389.507736442,-0.677602001,0.000000000,5251.989221239
1783004517.393450,0.000000000,0.000000000,0.000000000,5062410.351878414,479750.968962676,-0.677602001,0.000000000,5284.472094206
1783004517.403389,0.000000000,0.000000000,0.000000000,5027008.880886258,455336.161381878,-0.677625970,0.000000000,5264.526580935
1783004517.413330,0.000000000,0.000000000,0.000000000,5061189.611499375,465102.084414197,-0.677673906,0.000000000,5296.161677955
1783004517.423447,0.000000000,0.000000000,0.000000000,5013580.736716819,443128.757591479,-0.677649938,0.000000000,5259.593080642
1783004517.433392,0.000000000,0.000000000,0.000000000,5061189.611499375,474868.007446516,-0.677649938,0.000000000,5287.987156813
1783004517.443459,0.000000000,0.000000000,0.000000000,5044099.246192816,463881.344035157,-0.677625970,0.000000000,5276.947746090
1783004517.453457,0.000000000,0.000000000,0.000000000,5086825.159459212,498062.074648274,-0.677602001,0.000000000,5297.437946861
1783004517.463408,0.000000000,0.000000000,0.000000000,5052644.428846095,468764.305551317,-0.677625970,0.000000000,5282.680591547
1783004517.473432,0.000000000,0.000000000,0.000000000,5067293.313394574,465102.084414197,-0.677649938,0.000000000,5302.457214861
1783004517.483495,0.000000000,0.000000000,0.000000000,4994048.890652181,402844.325083163,-0.677649938,0.000000000,5269.285289335
1783004517.493360,0.000000000,0.000000000,0.000000000,4991607.409894100,395519.882808924,-0.677649938,0.000000000,5272.288508930
1783004517.503441,0.000000000,0.000000000,0.000000000,5022125.919370098,484633.930478835,-0.677625970,0.000000000,5236.135346295
1783004517.513411,0.000000000,0.000000000,0.000000000,5084383.678701133,473647.267067476,-0.677625970,0.000000000,5314.347737876
1783004517.523395,0.000000000,0.000000000,0.000000000,5077059.236426893,483413.190099796,-0.677625970,0.000000000,5298.514164711
1783004517.533522,0.000000000,0.000000000,0.000000000,5047761.467329935,460219.122898038,-0.677649938,0.000000000,5284.437897291
1783004517.543432,0.000000000,0.000000000,0.000000000,5041657.765434736,457777.642139958,-0.677649938,0.000000000,5279.523537954
1783004517.553429,0.000000000,0.000000000,0.000000000,5059968.871120335,488296.151615955,-0.677649938,0.000000000,5276.110788414
1783004517.563504,0.000000000,0.000000000,0.000000000,5061189.611499375,479750.968962676,-0.677602001,0.000000000,5283.107267611
1783004517.573430,0.000000000,0.000000000,0.000000000,5056306.649983215,469985.045930357,-0.677625970,0.000000000,5285.820006915
1783004517.583391,0.000000000,0.000000000,0.000000000,5059968.871120335,455336.161381878,-0.677602001,0.000000000,5300.850013350
1783004517.593472,0.000000000,0.000000000,0.000000000,4996490.371410260,439466.536454360,-0.677625970,0.000000000,5242.823665994
1783004517.603484,0.000000000,0.000000000,0.000000000,5027008.880886258,457777.642139958,-0.677649938,0.000000000,5263.142340163
1783004517.613414,0.000000000,0.000000000,0.000000000,5023346.659749138,437025.055696280,-0.677649938,0.000000000,5275.291728525
1783004517.623434,0.000000000,0.000000000,0.000000000,5039216.284676656,506607.257301553,-0.677602001,0.000000000,5237.522059329
1783004517.633425,0.000000000,0.000000000,0.000000000,5014801.477095858,437025.055696280,-0.677602001,0.000000000,5264.682108575
1783004517.643448,0.000000000,0.000000000,0.000000000,5081942.197943052,498062.074648274,-0.677602001,0.000000000,5291.978640480
1783004517.653492,0.000000000,0.000000000,0.000000000,5062410.351878414,505386.516922513,-0.677649938,0.000000000,5265.463009850
1783004517.663435,0.000000000,0.000000000,0.000000000,5096591.082491531,537125.766777551,-0.677649938,0.000000000,5278.840988046
1783004517.673385,0.000000000,0.000000000,0.000000000,5096591.082491531,521256.141850032,-0.677649938,0.000000000,5291.263396371
1783004517.683479,0.000000000,0.000000000,0.000000000,5113681.447798089,515152.439954833,-0.677625970,0.000000000,5314.620730517
1783004517.693463,0.000000000,0.000000000,0.000000000,5014801.477095858,430921.353801080,-0.677602001,0.000000000,5269.459001659
1783004517.703485,0.000000000,0.000000000,0.000000000,5061189.611499375,473647.267067476,-0.677625970,0.000000000,5288.413437003
1783004517.713477,0.000000000,0.000000000,0.000000000,5057527.390362254,479750.968962676,-0.677649938,0.000000000,5280.069577880
1783004517.723365,0.000000000,0.000000000,0.000000000,5066072.573015534,478530.228583636,-0.677649938,0.000000000,5290.580846463
1783004517.733501,0.000000000,0.000000000,0.000000000,5059968.871120335,469985.045930357,-0.677649938,0.000000000,5290.444336481
1783004517.743484,0.000000000,0.000000000,0.000000000,5037995.544297617,467543.565172277,-0.677625970,0.000000000,5267.256507343
1783004517.753366,0.000000000,0.000000000,0.000000000,5039216.284676656,467543.565172277,-0.677625970,0.000000000,5268.621470547
1783004517.763412,0.000000000,0.000000000,0.000000000,5100253.303628650,524918.362987152,-0.677625970,0.000000000,5291.962341333
1783004517.773513,0.000000000,0.000000000,0.000000000,5079500.717184973,469985.045930357,-0.677625970,0.000000000,5311.754307789
1783004517.783419,0.000000000,0.000000000,0.000000000,5069734.794152654,507827.997680593,-0.677649938,0.000000000,5271.742469004
1783004517.793456,0.000000000,0.000000000,0.000000000,5037995.544297617,473647.267067476,-0.677649938,0.000000000,5263.005830182
1783004517.803493,0.000000000,0.000000000,0.000000000,4995269.631031221,412610.248115482,-0.677625970,0.000000000,5262.479136130
1783004517.813341,0.000000000,0.000000000,0.000000000,5009918.515579700,450453.199865719,-0.677602001,0.000000000,5248.713637411
1783004517.823353,0.000000000,0.000000000,0.000000000,5031891.842402417,435804.315317240,-0.677625970,0.000000000,5285.274021634
1783004517.833523,0.000000000,0.000000000,0.000000000,5033112.582781457,487075.411236915,-0.677649938,0.000000000,5247.034162336
1783004517.843443,0.000000000,0.000000000,0.000000000,5041657.765434736,483413.190099796,-0.677673906,0.000000000,5259.982912594
1783004517.853339,0.000000000,0.000000000,0.000000000,5044099.246192816,462660.603656117,-0.677649938,0.000000000,5278.431458101
1783004517.863256,0.000000000,0.000000000,0.000000000,5044099.246192816,460219.122898038,-0.677602001,0.000000000,5279.285753144
1783004517.873344,0.000000000,0.000000000,0.000000000,5085604.419080172,487075.411236915,-0.677602001,0.000000000,5304.671527816
1783004517.883380,0.000000000,0.000000000,0.000000000,5005035.554063540,445570.238349559,-0.677602001,0.000000000,5247.075845496
1783004517.893345,0.000000000,0.000000000,0.000000000,5057527.390362254,490737.632374035,-0.677649938,0.000000000,5271.469449040
1783004517.903502,0.000000000,0.000000000,0.000000000,4996490.371410260,415051.728873562,-0.677649938,0.000000000,5262.459790255
1783004517.913324,0.000000000,0.000000000,0.000000000,5017242.957853938,465102.084414197,-0.677649938,0.000000000,5246.488122410
1783004517.923389,0.000000000,0.000000000,0.000000000,5047761.467329935,487075.411236915,-0.677625970,0.000000000,5262.888625091
1783004517.933350,0.000000000,0.000000000,0.000000000,5081942.197943052,493179.113132115,-0.677649938,0.000000000,5296.860305616
1783004517.943464,0.000000000,0.000000000,0.000000000,5047761.467329935,444349.497970519,-0.677625970,0.000000000,5296.330223585
1783004517.953282,0.000000000,0.000000000,0.000000000,5046540.726950896,444349.497970519,-0.677649938,0.000000000,5295.495205800
1783004517.963336,0.000000000,0.000000000,0.000000000,4990386.669515061,427259.132663961,-0.677649938,0.000000000,5246.078592465
1783004517.973337,0.000000000,0.000000000,0.000000000,5085604.419080172,482192.449720756,-0.677649938,0.000000000,5309.555733904
1783004517.983380,0.000000000,0.000000000,0.000000000,5084383.678701133,498062.074648274,-0.677625970,0.000000000,5295.238253022
1783004517.993376,0.000000000,0.000000000,0.000000000,5001373.332926420,449232.459486679,-0.677625970,0.000000000,5240.639724868
1783004518.003357,0.000000000,0.000000000,0.000000000,5051423.688467056,500503.555406354,-0.677625970,0.000000000,5256.473298033
1783004518.013300,0.000000000,0.000000000,0.000000000,5029450.361644337,452894.680623798,-0.677649938,0.000000000,5269.694819280
1783004518.023377,0.000000000,0.000000000,0.000000000,5022125.919370098,445570.238349559,-0.677673906,0.000000000,5267.764760238
1783004518.033365,0.000000000,0.000000000,0.000000000,5044099.246192816,457777.642139958,-0.677649938,0.000000000,5282.253737586
1783004518.043371,0.000000000,0.000000000,0.000000000,5019684.438612018,467543.565172277,-0.677625970,0.000000000,5246.782059285
1783004518.053365,0.000000000,0.000000000,0.000000000,5080721.457564012,491958.372753075,-0.677625970,0.000000000,5295.920734624
1783004518.063416,0.000000000,0.000000000,0.000000000,5041657.765434736,445570.238349559,-0.677625970,0.000000000,5288.549933323
1783004518.073448,0.000000000,0.000000000,0.000000000,5047761.467329935,484633.930478835,-0.677625970,0.000000000,5264.799573576
1783004518.083448,0.000000000,0.000000000,0.000000000,5042878.505813777,472426.526688437,-0.677649938,0.000000000,5269.421799317
1783004518.093510,0.000000000,0.000000000,0.000000000,5069734.794152654,507827.997680593,-0.677673906,0.000000000,5272.270040453
1783004518.103405,0.000000000,0.000000000,0.000000000,5046540.726950896,462660.603656117,-0.677625970,0.000000000,5280.633146741
1783004518.113377,0.000000000,0.000000000,0.000000000,5034333.323160497,449232.459486679,-0.677625970,0.000000000,5277.493731372
1783004518.123539,0.000000000,0.000000000,0.000000000,5069734.794152654,469985.045930357,-0.677625970,0.000000000,5300.834602158
1783004518.133494,0.000000000,0.000000000,0.000000000,4939115.573595386,411389.507736442,-0.677649938,0.000000000,5201.166808522
1783004518.143456,0.000000000,0.000000000,0.000000000,5031891.842402417,478530.228583636,-0.677673906,0.000000000,5252.883683165
1783004518.153478,0.000000000,0.000000000,0.000000000,5042878.505813777,490737.632374035,-0.677673906,0.000000000,5255.614156022
1783004518.163472,0.000000000,0.000000000,0.000000000,5044099.246192816,478530.228583636,-0.677625970,0.000000000,5265.482055178
1783004518.173430,0.000000000,0.000000000,0.000000000,5066072.573015534,498062.074648274,-0.677625970,0.000000000,5274.763804964
1783004518.183422,0.000000000,0.000000000,0.000000000,5059968.871120335,478530.228583636,-0.677625970,0.000000000,5283.226576828
1783004518.193456,0.000000000,0.000000000,0.000000000,5055085.909604175,467543.565172277,-0.677649938,0.000000000,5286.895076960
1783004518.203359,0.000000000,0.000000000,0.000000000,5052644.428846095,483413.190099796,-0.677673906,0.000000000,5272.270040453
