__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset
1784017664.105460,,,,634.000000000,856.000000000,0.000000000
1784017664.105476,0.001941444,-0.065793514,0.000000000,,,
1784017664.115448,,,,684.000000000,922.000000000,0.000000000
1784017664.115458,0.001965413,-0.065817356,0.000000000,,,
1784017664.125560,,,,677.000000000,914.000000000,0.000000000
1784017664.125567,0.001941444,-0.065817356,0.000000000,,,
1784017664.135499,,,,678.000000000,929.000000000,0.000000000
1784017664.135507,0.001941444,-0.065793514,0.000000000,,,
1784017664.145491,,,,672.000000000,915.000000000,0.000000000
1784017664.145500,0.001989381,-0.065793514,0.000000000,,,
1784017664.155440,,,,672.000000000,906.000000000,0.000000000
1784017664.155449,0.001965413,-0.065793514,0.000000000,,,
1784017664.165403,,,,657.000000000,904.000000000,0.000000000
1784017664.165409,0.001941444,-0.065841198,0.000000000,,,
1784017664.175445,,,,666.000000000,881.000000000,0.000000000
1784017664.175452,0.001917476,-0.065841198,0.000000000,,,
1784017664.185723,,,,665.000000000,895.000000000,0.000000000
1784017664.185735,0.001941444,-0.065841198,0.000000000,,,
1784017664.195580,,,,600.000000000,832.000000000,0.000000000
1784017664.195602,0.002013350,-0.065841198,0.000000000,,,
1784017664.205450,,,,652.000000000,899.000000000,0.000000000
1784017664.205465,0.001989381,-0.065817356,0.000000000,,,
1784017664.215429,,,,665.000000000,916.000000000,0.000000000
1784017664.215450,0.001965413,-0.065769196,0.000000000,,,
1784017664.225477,,,,650.000000000,895.000000000,0.000000000
1784017664.225492,0.001965413,-0.065817356,0.000000000,,,
1784017664.235526,,,,656.000000000,920.000000000,0.000000000
1784017664.235560,0.001965413,-0.065841198,0.000000000,,,
1784017664.245548,,,,691.000000000,918.000000000,0.000000000
1784017664.245563,0.001941444,-0.065817356,0.000000000,,,
1784017664.255489,,,,654.000000000,904.000000000,0.000000000
1784017664.255508,0.002013350,-0.065817356,0.000000000,,,
1784017664.265441,,,,646.000000000,861.000000000,0.000000000
1784017664.265455,0.002013350,-0.065817356,0.000000000,,,
1784017664.275540,,,,682.000000000,919.000000000,0.000000000
1784017664.275552,0.001989381,-0.065817356,0.000000000,,,
1784017664.285491,,,,644.000000000,906.000000000,0.000000000
1784017664.285501,0.001989381,-0.065817356,0.000000000,,,
1784017664.295488,,,,704.000000000,949.000000000,0.000000000
1784017664.295500,0.001965413,-0.065817356,0.000000000,,,
1784017664.305498,,,,626.000000000,864.000000000,0.000000000
1784017664.305512,0.001965413,-0.065817356,0.000000000,,,
1784017664.315605,,,,623.000000000,881.000000000,0.000000000
1784017664.315618,0.002013350,-0.065793514,0.000000000,,,
1784017664.325664,,,,684.000000000,914.000000000,0.000000000
1784017664.325678,0.002013350,-0.065793514,0.000000000,,,
1784017664.335710,,,,692.000000000,943.000000000,0.000000000
1784017664.335722,0.002013350,-0.065865517,0.000000000,,,
1784017664.345644,,,,650.000000000,887.000000000,0.000000000
1784017664.345656,0.001965413,-0.065865517,0.000000000,,,
1784017664.355716,,,,642.000000000,879.000000000,0.000000000
1784017664.355728,0.001989381,-0.065865517,0.000000000,,,
1784017664.365676,,,,676.000000000,919.000000000,0.000000000
1784017664.365692,0.001965413,-0.065841198,0.000000000,,,
1784017664.375653,,,,680.000000000,908.000000000,0.000000000
1784017664.375672,0.002037318,-0.065841198,0.000000000,,,
1784017664.385669,,,,649.000000000,902.000000000,0.000000000
1784017664.385684,0.002013350,-0.065841198,0.000000000,,,
1784017664.395877,,,,697.000000000,931.000000000,0.000000000
1784017664.395890,0.001965413,-0.065841198,0.000000000,,,
1784017664.405504,,,,695.000000000,935.000000000,0.000000000
1784017664.405516,0.001965413,-0.065865517,0.000000000,,,
1784017664.415483,,,,657.000000000,895.000000000,0.000000000
1784017664.415495,0.001965413,-0.065841198,0.000000000,,,
1784017664.425473,,,,652.000000000,852.000000000,0.000000000
