__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,a_g,w_g
1784041775.539226,7820.000000000,387.000000000,1.300887704,0.376376569,,
1784041775.549220,7843.000000000,385.000000000,1.300839663,0.376376569,,-0.002404707
1784041775.559258,7841.000000000,393.000000000,1.300863624,0.376400560,-0.060006079,-0.001202066
1784041775.569201,7807.000000000,369.000000000,1.300887704,0.376376569,0.240670302,0.002404276
1784041775.579226,7835.000000000,380.000000000,1.300911665,0.376376569,0.180698533,0.002405999
1784041775.589199,7780.000000000,346.000000000,1.300911665,0.376376569,-0.060311195,0.001198183
1784041775.599200,7826.000000000,371.000000000,1.300887704,0.376352608,-0.180518209,-0.001199628
1784041775.609251,7785.000000000,336.000000000,1.300863624,0.376400560,-0.179239247,-0.002395872
1784041775.619201,7812.000000000,380.000000000,1.300863624,0.376400560,-0.000214329,-0.001203915
1784041775.629237,7796.000000000,357.000000000,1.300911665,0.376400560,0.240155028,0.002403789
1784041775.639221,7784.000000000,334.000000000,1.300911665,0.376400560,0.180002552,0.002399695
1784041775.649268,7812.000000000,350.000000000,1.300911665,0.376400560,-0.119999298,0.000000000
1784041775.659286,7812.000000000,379.000000000,1.300839663,0.376400560,-0.298424749,-0.003588360
1784041775.669285,7831.000000000,371.000000000,1.300863624,0.376400560,-0.119903394,-0.002400067
1784041775.679289,7832.000000000,375.000000000,1.300935626,0.376400560,0.419233058,0.004797492
1784041775.689263,7842.000000000,406.000000000,1.300911665,0.376376569,0.240498362,0.002404678
1784041775.699276,7804.000000000,408.000000000,1.300911665,0.376376569,-0.300022215,-0.001198869
1784041775.709290,7828.000000000,396.000000000,1.300815701,0.376400560,-0.359357763,-0.004791895
1784041775.719257,7789.000000000,353.000000000,1.300839663,0.376376569,-0.120345875,-0.003603518
1784041775.729266,7836.000000000,389.000000000,1.300935626,0.376400560,0.540398918,0.006003318
1784041775.739267,7803.000000000,344.000000000,1.300911665,0.376400560,0.359912142,0.003598322
1784041775.749255,7811.000000000,387.000000000,1.300911665,0.376400560,-0.360289382,-0.001198683
1784041775.759286,7855.000000000,416.000000000,1.300815701,0.376352608,-0.419204932,-0.004793664
1784041775.769201,7812.000000000,358.000000000,1.300839663,0.376376569,-0.120894926,-0.003609979
1784041775.779236,7819.000000000,392.000000000,1.300839663,0.376400560,0.300475861,0.001201018
1784041775.789236,7824.000000000,361.000000000,1.300935626,0.376400560,0.419253900,0.004789785
1784041775.799248,7853.000000000,404.000000000,1.300935626,0.376400560,0.179608220,0.004795320
1784041775.809268,7831.000000000,375.000000000,1.300815701,0.376376569,-0.537953948,-0.005986599
1784041775.819249,7838.000000000,379.000000000,1.300815701,0.376376569,-0.539528148,-0.005995876
1784041775.829250,7818.000000000,379.000000000,1.300815701,0.376376569,0.299601651,0.000000000
1784041775.839354,7808.000000000,350.000000000,1.300959587,0.376400560,0.654212406,0.007156834
1784041775.849236,7779.000000000,342.000000000,1.300935626,0.376400560,0.300241280,0.006000525
1784041775.859196,7828.000000000,387.000000000,1.300911665,0.376400560,-0.482414832,-0.002415198
1784041775.869250,7819.000000000,385.000000000,1.300839663,0.376376569,-0.539387695,-0.004794806
1784041775.879239,7777.000000000,356.000000000,1.300839663,0.376376569,-0.058732082,-0.003592373
1784041775.889271,7815.000000000,385.000000000,1.300839663,0.376376569,0.239486448,0.000000000
1784041775.899248,7800.000000000,391.000000000,1.300959587,0.376376569,0.479068694,0.005993447
1784041775.909282,7846.000000000,404.000000000,1.300959587,0.376376569,0.299469121,0.005992804
1784041775.919209,7763.000000000,360.000000000,1.300839663,0.376376569,-0.601247297,-0.006007979
1784041775.929252,7827.000000000,404.000000000,1.300815701,0.376352608,-0.660913392,-0.007205282
1784041775.939242,7784.000000000,340.000000000,1.300815701,0.376376569,0.240201825,-0.001196101
1784041775.949238,7775.000000000,360.000000000,1.300959587,0.376376569,0.720739255,0.007199351
1784041775.959252,7764.000000000,345.000000000,1.300959587,0.376376569,0.419129966,0.007190687
1784041775.969257,7846.000000000,415.000000000,1.300959587,0.376376569,-0.359616364,0.000000000
1784041775.979255,7810.000000000,353.000000000,1.300839663,0.376352608,-0.659198028,-0.005995304
1784041775.989255,7835.000000000,391.000000000,1.300839663,0.376352608,-0.299876278,-0.005996876
1784041775.999216,7806.000000000,371.000000000,1.300815701,0.376376569,0.240212834,-0.001200387
1784041776.009238,7818.000000000,387.000000000,1.300983548,0.376376569,0.660434690,0.007200468
1784041776.019238,7804.000000000,404.000000000,1.300959587,0.376400560,0.418899175,0.007186577
1784041776.029268,7824.000000000,418.000000000,1.300887704,0.376376569,-0.598386674,-0.004785088
1784041776.039237,7797.000000000,375.000000000,1.300863624,0.376376569,-0.599278368,-0.004798407
1784041776.049251,7823.000000000,408.000000000,1.300839663,0.376376569,0.119150171,-0.002404018
1784041776.059178,7753.000000000,348.000000000,1.300983548,0.376352608,0.542204370,0.006013869
1784041776.069208,7788.000000000,375.000000000,1.300983548,0.376376569,0.481743077,0.007209930
1784041776.079190,7791.000000000,363.000000000,1.300983548,0.376376569,-0.300514614,0.000000000
1784041776.089204,7785.000000000,365.000000000,1.300863624,0.376376569,-0.660514868,-0.005997520
1784041776.099198,7808.000000000,414.000000000,1.300863624,0.376352608,-0.299561909,-0.005993732
1784041776.109176,7823.000000000,410.000000000,1.300959587,0.376376569,0.540865572,0.004804823
1784041776.119198,7816.000000000,389.000000000,1.300983548,0.376376569,0.599520273,0.005996376
1784041776.129194,7788.000000000,392.000000000,1.300983548,0.376376569,-0.180232388,0.001196999
1784041776.139194,7824.000000000,399.000000000,1.300911665,0.376376569,-0.479653200,-0.003594849
1784041776.149204,7808.000000000,395.000000000,1.300887704,0.376376569,-0.299184990,-0.004789763
1784041776.159209,7745.000000000,353.000000000,1.300863624,0.376400560,0.059683632,-0.002400295
1784041776.169199,7795.000000000,393.000000000,1.300839663,0.376376569,0.119384582,-0.002402700
1784041776.179244,7810.000000000,408.000000000,1.300983548,0.376400560,0.418560329,0.005985672
1784041776.189245,7784.000000000,388.000000000,1.300983548,0.376400560,0.477904636,0.007177603
1784041776.199188,7819.000000000,400.000000000,1.300983548,0.376400560,-0.300113921,0.000000000
1784041776.209212,7764.000000000,348.000000000,1.300887704,0.376400560,-0.599893343,-0.004800229
1784041776.219213,7819.000000000,392.000000000,1.300863624,0.376376569,-0.299091281,-0.005989022
1784041776.229218,7795.000000000,397.000000000,1.300983548,0.376376569,0.479382857,0.004790619
1784041776.239198,7836.000000000,449.000000000,1.300983548,0.376376569,0.599917748,0.006000596
1784041776.249194,7763.000000000,371.000000000,1.300983548,0.376376569,-0.239822786,0.000000000
1784041776.259173,7799.000000000,422.000000000,1.300911665,0.376376569,-0.480565202,-0.003598668
1784041776.269208,7771.000000000,328.000000000,1.300911665,0.376376569,-0.179455823,-0.003591637
1784041776.279188,7796.000000000,391.000000000,1.300887704,0.376376569,0.119985630,-0.001197155
1784041776.289164,7792.000000000,375.000000000,1.300959587,0.376376569,0.300309686,0.002401376
1784041776.299211,7796.000000000,412.000000000,1.300959587,0.376400560,0.239092118,0.003590098
1784041776.309201,7793.000000000,381.000000000,1.300935626,0.376400560,-0.179526660,-0.001195831
1784041776.319208,7841.000000000,422.000000000,1.300935626,0.376376569,-0.239447096,-0.001198212
1784041776.329199,7803.000000000,418.000000000,1.300887704,0.376376569,-0.060031126,-0.002396338
1784041776.339172,7804.000000000,395.000000000,1.300959587,0.376400560,0.120139852,0.001200229
1784041776.349211,7776.000000000,384.000000000,1.300959587,0.376376569,0.299245630,0.003592065
1784041776.359202,7781.000000000,385.000000000,1.300983548,0.376376569,-0.000198992,0.001196243
1784041776.369247,7759.000000000,376.000000000,1.300935626,0.376400560,-0.238971979,-0.001195916
1784041776.379214,7732.000000000,324.000000000,1.300887704,0.376352608,-0.299102345,-0.004789363
1784041776.389253,7740.000000000,346.000000000,1.300887704,0.376352608,-0.059956143,-0.002395395
1784041776.399247,7814.000000000,397.000000000,1.300935626,0.376376569,0.358476073,0.002392117
1784041776.409269,7836.000000000,431.000000000,1.300959587,0.376376569,0.299084510,0.003591210
1784041776.419277,7783.000000000,375.000000000,1.300935626,0.376376569,-0.119425146,0.000000000
1784041776.429312,7793.000000000,381.000000000,1.300911665,0.376376569,-0.298474213,-0.002391007
1784041776.439227,7784.000000000,360.000000000,1.300911665,0.376376569,-0.060205272,-0.001201076
1784041776.449320,7814.000000000,397.000000000,1.300911665,0.376376569,0.119500602,0.000000000
1784041776.459303,7789.000000000,403.000000000,1.300911665,0.376400560,0.059826330,0.000000000
1784041776.469241,7787.000000000,371.000000000,1.300935626,0.376400560,0.060381218,0.001202829
1784041776.479275,7781.000000000,380.000000000,1.300911665,0.376400560,0.000000000,0.000000000
1784041776.489194,7827.000000000,404.000000000,1.300911665,0.376400560,-0.120466067,-0.001200860
1784041776.499246,7763.000000000,365.000000000,1.300887704,0.376400560,-0.060074534,-0.001199771
1784041776.509157,7803.000000000,367.000000000,1.300887704,0.376400560,0.000030173,-0.001200258
1784041776.519211,7795.000000000,377.000000000,1.300887704,0.376400560,0.060093186,0.000000000
1784041776.529284,7783.000000000,395.000000000,1.300887704,0.376400560,0.059634755,0.000000000
1784041776.539280,7815.000000000,411.000000000,1.300935626,0.376400560,0.118981487,0.002387854
1784041776.549288,7803.000000000,423.000000000,1.300911665,0.376376569,0.059878510,0.001197812
1784041776.559223,7832.000000000,410.000000000,1.300911665,0.376376569,-0.179982407,-0.001201492
1784041776.569255,7811.000000000,375.000000000,1.300863624,0.376376569,-0.180485467,-0.002405999
1784041776.579336,7845.000000000,436.000000000,1.300887704,0.376376569,0.000504902,-0.001191337
1784041776.589248,7815.000000000,418.000000000,1.300911665,0.376376569,0.240528334,0.002402900
1784041776.599244,7742.000000000,303.000000000,1.300911665,0.376352608,0.120293671,0.001203550
1784041776.609226,7810.000000000,416.000000000,1.300911665,0.376352608,-0.120282776,0.000000000
1784041776.619208,7785.000000000,373.000000000,1.300815701,0.376352608,-0.301061248,-0.004806831
1784041776.629271,7834.000000000,399.000000000,1.300839663,0.376400560,-0.179185186,-0.003591903
1784041776.639194,7775.000000000,356.000000000,1.300911665,0.376400560,0.480783730,0.004801727
1784041776.649283,7871.000000000,435.000000000,1.300887704,0.376400560,0.299443870,0.002400610
1784041776.659344,7797.000000000,357.000000000,1.300887704,0.376400560,-0.297301568,-0.001189096
1784041776.669261,7814.000000000,408.000000000,1.300911665,0.376400560,-0.060128006,0.001199370
1784041776.679254,7792.000000000,360.000000000,1.300815701,0.376400560,-0.121915690,-0.003616420
1784041776.689214,7823.000000000,402.000000000,1.300839663,0.376400560,-0.240974617,-0.003608685
1784041776.699201,7759.000000000,326.000000000,1.300863624,0.376400560,0.301753277,0.002402524
1784041776.709257,7765.000000000,342.000000000,1.300911665,0.376352608,0.359284413,0.003592415
1784041776.719209,7815.000000000,397.000000000,1.300887704,0.376376569,-0.059925640,0.001203484
1784041776.729241,7831.000000000,400.000000000,1.300815701,0.376352608,-0.420057369,-0.004802014
1784041776.739197,7827.000000000,399.000000000,1.300791740,0.376352608,-0.300405556,-0.004801040
1784041776.749251,7791.000000000,340.000000000,1.300815701,0.376376569,0.239975050,0.000000000
1784041776.759233,7808.000000000,349.000000000,1.300911665,0.376376569,0.538366346,0.005985530
1784041776.769175,7830.000000000,358.000000000,1.300887704,0.376352608,0.181383269,0.003613867
1784041776.779258,7788.000000000,333.000000000,1.300911665,0.376352608,-0.298902650,0.000000000
1784041776.789203,7775.000000000,326.000000000,1.300767779,0.376352608,-0.479428460,-0.005987953
1784041776.799258,7827.000000000,365.000000000,1.300815701,0.376376569,-0.239926313,-0.004798350
1784041776.809220,7749.000000000,283.000000000,1.300839663,0.376376569,0.478549254,0.003591124
1784041776.819235,7784.000000000,325.000000000,1.300887704,0.376376569,0.420611693,0.003604249
1784041776.829283,7783.000000000,307.000000000,1.300887704,0.376376569,-0.059641879,0.002394534
1784041776.839175,7803.000000000,354.000000000,1.300767779,0.376352608,-0.482339518,-0.006014013
1784041776.849251,7819.000000000,353.000000000,1.300791740,0.376376569,-0.360602988,-0.004805913
1784041776.859268,7835.000000000,360.000000000,1.300791740,0.376400560,0.358659033,0.001192510
1784041776.869305,7808.000000000,361.000000000,1.300911665,0.376376569,0.537823374,0.005979908
1784041776.879359,7849.000000000,373.000000000,1.300887704,0.376352608,0.178398526,0.004776598
1784041776.889350,7797.000000000,334.000000000,1.300863624,0.376352608,-0.417881387,-0.002396641
1784041776.899388,7841.000000000,373.000000000,1.300767779,0.376352608,-0.537425038,-0.005987525
1784041776.909337,7788.000000000,350.000000000,1.300767779,0.376376569,-0.120019144,-0.004795419
1784041776.919231,7811.000000000,345.000000000,1.300911665,0.376352608,0.667168410,0.007251165
1784041776.929346,7772.000000000,345.000000000,1.300887704,0.376376569,0.539213114,0.005993589
1784041776.939207,7823.000000000,369.000000000,1.300887704,0.376352608,-0.423031431,-0.001199470
1784041776.949243,7804.000000000,340.000000000,1.300767779,0.376328647,-0.604144103,-0.006027200
1784041776.959204,7832.000000000,376.000000000,1.300767779,0.376328647,-0.239928461,-0.005997234
1784041776.969207,7814.000000000,365.000000000,1.300767779,0.376352608,0.301910958,0.000000000
1784041776.979226,7857.000000000,404.000000000,1.300887704,0.376352608,0.598699557,0.005989735
1784041776.989161,7781.000000000,329.000000000,1.300887704,0.376352608,0.301196290,0.006010061
1784041776.999234,7799.000000000,349.000000000,1.300887704,0.376376569,-0.299358579,0.000000000
1784041777.009245,7830.000000000,375.000000000,1.300767779,0.376352608,-0.596516739,-0.005970893
1784041777.019203,7827.000000000,395.000000000,1.300767779,0.376352608,-0.300743350,-0.006005540
1784041777.029258,7859.000000000,426.000000000,1.300911665,0.376376569,0.657641284,0.007189916
1784041777.039188,7775.000000000,349.000000000,1.300911665,0.376376569,0.660746417,0.007199609
1784041777.049230,7780.000000000,352.000000000,1.300887704,0.376352608,-0.420068494,-0.001199728
1784041777.059190,7804.000000000,348.000000000,1.300815701,0.376352608,-0.599839879,-0.004797893
1784041777.069221,7845.000000000,399.000000000,1.300791740,0.376352608,-0.180113022,-0.004800353
1784041777.079239,7831.000000000,373.000000000,1.300767779,0.376352608,0.120087844,-0.002390154
1784041777.089176,7831.000000000,403.000000000,1.300911665,0.376352608,0.541687096,0.006009486
1784041777.099176,7834.000000000,408.000000000,1.300911665,0.376376569,0.481874695,0.007217000
1784041777.109200,7808.000000000,388.000000000,1.300911665,0.376352608,-0.300127547,0.000000000
1784041777.119193,7839.000000000,385.000000000,1.300791740,0.376352608,-0.659884539,-0.005991376
1784041777.129206,7810.000000000,345.000000000,1.300791740,0.376376569,-0.299611889,-0.005994232
1784041777.139204,7824.000000000,396.000000000,1.300911665,0.376352608,0.598856199,0.005992732
1784041777.149197,7802.000000000,388.000000000,1.300911665,0.376376569,0.599920738,0.005998879
1784041777.159220,7822.000000000,393.000000000,1.300911665,0.376376569,-0.299408479,0.000000000
1784041777.169176,7818.000000000,356.000000000,1.300815701,0.376376569,-0.540672514,-0.004803217
1784041777.179538,7816.000000000,363.000000000,1.300815701,0.376352608,-0.232440689,-0.004722903
1784041777.189234,7831.000000000,372.000000000,1.300791740,0.376352608,0.179910173,-0.001194594
1784041777.199254,7822.000000000,399.000000000,1.300887704,0.376352608,0.424789921,0.003652062
1784041777.209254,7824.000000000,381.000000000,1.300887704,0.376352608,0.299105823,0.004793436
1784041777.219239,7777.000000000,364.000000000,1.300863624,0.376352608,-0.243021015,-0.001204877
1784041777.229320,7836.000000000,389.000000000,1.300839663,0.376352608,-0.358208855,-0.002394221
1784041777.239236,7746.000000000,313.000000000,1.300815701,0.376328647,-0.059589473,-0.002396480
1784041777.249283,7785.000000000,338.000000000,1.300863624,0.376352608,0.180054649,0.001200258
1784041777.259311,7785.000000000,345.000000000,1.300887704,0.376352608,0.298043592,0.003586698
1784041777.269270,7812.000000000,388.000000000,1.300911665,0.376352608,0.060204601,0.002403588
1784041777.279284,7827.000000000,371.000000000,1.300863624,0.376352608,-0.239951068,-0.001205682
1784041777.289235,7803.000000000,383.000000000,1.300839663,0.376376569,-0.301035152,-0.003606487
1784041777.299277,7768.000000000,348.000000000,1.300815701,0.376352608,-0.059583426,-0.002396938
1784041777.309257,7787.000000000,356.000000000,1.300887704,0.376376569,0.299962547,0.002399409
