__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,acc_g,vel_g
1784025610.369413,7604.000000000,486.000000000,0.176311925,-0.047529221,0.000000000,0.000000000
1784025610.379427,7612.000000000,447.000000000,0.176311925,-0.047505379,0.060301220,0.000000000
1784025610.389372,7611.000000000,446.000000000,0.176287949,-0.047505379,-0.060183720,-0.001201234
1784025610.399527,7597.000000000,463.000000000,0.176287949,-0.047529221,-0.059347114,-0.001192856
1784025610.409445,7594.000000000,431.000000000,0.176287949,-0.047529221,0.059843457,0.000000000
1784025610.419448,7656.000000000,453.000000000,0.176311925,-0.047505379,0.120294987,0.001203549
1784025610.429295,7617.000000000,438.000000000,0.176287949,-0.047481537,0.000000000,0.000000000
1784025610.439410,7635.000000000,471.000000000,0.176287949,-0.047505379,-0.120457514,-0.001201062
1784025610.449622,7632.000000000,449.000000000,0.176287949,-0.047505379,0.000000000,0.000000000
1784025610.459632,7620.000000000,414.000000000,0.176263988,-0.047505379,0.000799023,-0.001184904
1784025610.469468,7650.000000000,423.000000000,0.176287949,-0.047505379,0.000000000,0.000000000
1784025610.479483,7655.000000000,459.000000000,0.176311925,-0.047505379,0.181346033,0.002414904
1784025610.489364,7646.000000000,428.000000000,0.176287949,-0.047529221,0.000000000,0.000000000
1784025610.499476,7632.000000000,458.000000000,0.176287949,-0.047529221,-0.180768577,-0.001199214
1784025610.509536,7613.000000000,420.000000000,0.176287949,-0.047505379,0.000000000,0.000000000
1784025610.519612,7620.000000000,422.000000000,0.176311925,-0.047505379,0.118687665,0.001190695
1784025610.529336,7628.000000000,436.000000000,0.176287949,-0.047481537,0.000000000,0.000000000
1784025610.539346,7654.000000000,461.000000000,0.176287949,-0.047529221,-0.121900366,-0.001214934
1784025610.549510,7627.000000000,419.000000000,0.176287949,-0.047529221,0.000000000,0.000000000
1784025610.559422,7631.000000000,461.000000000,0.176311925,-0.047505379,0.120005493,0.001194272
1784025610.569655,7672.000000000,485.000000000,0.176311925,-0.047505379,0.059081907,0.001190187
1784025610.579470,7636.000000000,445.000000000,0.176287949,-0.047505379,-0.119226877,-0.001195948
1784025610.589453,7660.000000000,457.000000000,0.176287949,-0.047505379,-0.121283276,-0.001211013
1784025610.599343,7625.000000000,440.000000000,0.176287949,-0.047505379,0.060178397,0.000000000
1784025610.609446,7628.000000000,463.000000000,0.176335886,-0.047505379,0.180504523,0.002397740
1784025610.619665,7615.000000000,461.000000000,0.176311925,-0.047529221,0.058056366,0.001179813
1784025610.629475,7607.000000000,445.000000000,0.176311925,-0.047529221,-0.179433398,-0.001196272
