__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,a_g,w_g
1784040798.952526,9614.000000000,479.000000000,1.279723525,0.348237604,,
1784040798.962489,9599.000000000,461.000000000,1.279747486,0.348213643,,0.002409581
1784040798.972449,9611.000000000,459.000000000,1.279747486,0.348213643,-0.060817780,0.001202671
1784040798.982413,9576.000000000,447.000000000,1.279747486,0.348213643,-0.120943400,0.000000000
1784040798.992477,9610.000000000,469.000000000,1.279651642,0.348237604,-0.298981176,-0.004785429
1784040799.002499,9586.000000000,453.000000000,1.279675603,0.348237604,-0.178163080,-0.003578677
1784040799.012491,9572.000000000,404.000000000,1.279699564,0.348213643,0.358757842,0.002394510
1784040799.022503,9604.000000000,428.000000000,1.279723525,0.348213643,0.298654811,0.002395624
1784040799.032482,9571.000000000,419.000000000,1.279723525,0.348213643,-0.059822811,0.001198569
1784040799.042480,9599.000000000,453.000000000,1.279723525,0.348237604,-0.119918526,0.000000000
1784040799.052500,9598.000000000,422.000000000,1.279627681,0.348237604,-0.299038982,-0.004787766
1784040799.062497,9631.000000000,447.000000000,1.279651642,0.348189682,-0.179404527,-0.003591124
1784040799.072480,9611.000000000,427.000000000,1.279675603,0.348189682,0.359691528,0.002398597
1784040799.082401,9629.000000000,442.000000000,1.279675603,0.348213643,0.240905670,0.001203838
1784040799.092411,9606.000000000,428.000000000,1.279723525,0.348213643,0.000290795,0.002404393
1784040799.102601,9571.000000000,384.000000000,1.279723525,0.348213643,0.057848639,0.002372381
1784040799.112419,9629.000000000,428.000000000,1.279723525,0.348213643,-0.120171033,0.000000000
1784040799.122595,9633.000000000,432.000000000,1.279627681,0.348213643,-0.358422815,-0.004793761
1784040799.132411,9599.000000000,426.000000000,1.279651642,0.348213643,-0.179854111,-0.003595621
1784040799.142509,9627.000000000,410.000000000,1.279675603,0.348189682,0.361550313,0.002406379
1784040799.152500,9580.000000000,381.000000000,1.279723525,0.348213643,0.357099795,0.003578210
1784040799.162421,9619.000000000,393.000000000,1.279723525,0.348237604,0.000015917,0.002406696
1784040799.172452,9623.000000000,406.000000000,1.279603720,0.348213643,-0.480285492,-0.006004589
1784040799.182431,9656.000000000,428.000000000,1.279627681,0.348237604,-0.359653188,-0.004789877
1784040799.192498,9630.000000000,385.000000000,1.279651642,0.348213643,0.418790329,0.002390580
1784040799.202519,9590.000000000,376.000000000,1.279699564,0.348213643,0.416575843,0.003578380
1784040799.212432,9599.000000000,418.000000000,1.279699564,0.348213643,0.000678483,0.002404105
1784040799.222492,9635.000000000,423.000000000,1.279699564,0.348213643,-0.179158382,0.000000000
1784040799.232510,9656.000000000,438.000000000,1.279627681,0.348189682,-0.298054039,-0.003580207
1784040799.242474,9617.000000000,396.000000000,1.279627681,0.348189682,-0.180043011,-0.003597509
1784040799.252496,9649.000000000,418.000000000,1.279699564,0.348213643,0.359085074,0.003596607
1784040799.262509,9591.000000000,403.000000000,1.279699564,0.348213643,0.358647506,0.003587919
1784040799.272418,9630.000000000,399.000000000,1.279699564,0.348213643,-0.180534290,0.000000000
1784040799.282511,9634.000000000,412.000000000,1.279603720,0.348213643,-0.418944442,-0.004791761
1784040799.292452,9594.000000000,396.000000000,1.279627681,0.348213643,-0.179097214,-0.003588047
1784040799.302506,9622.000000000,426.000000000,1.279627681,0.348213643,0.299563913,0.001198297
1784040799.312534,9594.000000000,399.000000000,1.279723525,0.348189682,0.416351080,0.004772816
1784040799.322474,9630.000000000,415.000000000,1.279723525,0.348213643,0.180377742,0.004800000
1784040799.332508,9626.000000000,392.000000000,1.279699564,0.348213643,-0.299001721,-0.001199585
1784040799.342518,9600.000000000,415.000000000,1.279627681,0.348213643,-0.478046902,-0.004781786
1784040799.352479,9600.000000000,400.000000000,1.279627681,0.348213643,-0.120169148,-0.003599441
1784040799.362485,9607.000000000,404.000000000,1.279723525,0.348189682,0.479876361,0.004800057
1784040799.372508,9621.000000000,412.000000000,1.279723525,0.348213643,0.418618733,0.004785202
1784040799.382442,9595.000000000,420.000000000,1.279723525,0.348189682,-0.240516320,0.000000000
1784040799.392515,9619.000000000,428.000000000,1.279627681,0.348213643,-0.478606053,-0.004790448
1784040799.402498,9629.000000000,420.000000000,1.279627681,0.348213643,-0.238291242,-0.004779001
1784040799.412496,9623.000000000,419.000000000,1.279627681,0.348189682,0.239754119,0.000000000
1784040799.422474,9570.000000000,393.000000000,1.279723525,0.348213643,0.479393131,0.004797766
1784040799.432436,9631.000000000,435.000000000,1.279723525,0.348189682,0.241057263,0.004806658
1784040799.442474,9592.000000000,384.000000000,1.279723525,0.348213643,-0.239897099,0.000000000
1784040799.452433,9658.000000000,424.000000000,1.279627681,0.348237604,-0.480055771,-0.004792961
1784040799.462497,9609.000000000,403.000000000,1.279627681,0.348213643,-0.239040871,-0.004786512
1784040799.472501,9607.000000000,395.000000000,1.279747486,0.348213643,0.536325886,0.005969990
1784040799.482480,9623.000000000,423.000000000,1.279747486,0.348213643,0.539560146,0.005995418
1784040799.492469,9603.000000000,412.000000000,1.279723525,0.348237604,-0.359066971,-0.001199957
1784040799.502514,9617.000000000,424.000000000,1.279651642,0.348213643,-0.538066589,-0.004784120
1784040799.512475,9648.000000000,442.000000000,1.279651642,0.348213643,-0.119614116,-0.003593007
1784040799.522497,9590.000000000,414.000000000,1.279627681,0.348165721,0.179405951,-0.001199084
1784040799.532501,9595.000000000,418.000000000,1.279723525,0.348213643,0.358678840,0.003589628
1784040799.542500,9606.000000000,396.000000000,1.279723525,0.348213643,0.299494681,0.004791590
1784040799.552473,9598.000000000,407.000000000,1.279675603,0.348213643,-0.299862667,-0.002399398
1784040799.562469,9626.000000000,412.000000000,1.279651642,0.348213643,-0.420218211,-0.003599742
1784040799.572461,9600.000000000,412.000000000,1.279627681,0.348213643,0.000088782,-0.002397624
1784040799.582470,9614.000000000,416.000000000,1.279723525,0.348213643,0.359657046,0.003593906
1784040799.592479,9615.000000000,430.000000000,1.279747486,0.348213643,0.418719084,0.005984636
1784040799.602416,9615.000000000,424.000000000,1.279747486,0.348189682,-0.119953348,0.001201277
1784040799.612403,9596.000000000,423.000000000,1.279675603,0.348213643,-0.481465260,-0.003607927
1784040799.622482,9590.000000000,427.000000000,1.279651642,0.348189682,-0.297915431,-0.004776559
1784040799.632469,9615.000000000,438.000000000,1.279627681,0.348213643,0.060784532,-0.002388223
1784040799.642435,9591.000000000,424.000000000,1.279747486,0.348189682,0.480113676,0.004803384
1784040799.652457,9623.000000000,446.000000000,1.279747486,0.348189682,0.419379491,0.005994060
1784040799.662405,9596.000000000,423.000000000,1.279699564,0.348189682,-0.360708474,-0.002399771
1784040799.672414,9588.000000000,403.000000000,1.279699564,0.348213643,-0.420669118,-0.002401262
1784040799.682449,9603.000000000,415.000000000,1.279675603,0.348213643,0.060085183,-0.001195432
1784040799.692465,9592.000000000,416.000000000,1.279723525,0.348189682,0.179350312,0.001194978
1784040799.702535,9618.000000000,431.000000000,1.279747486,0.348189682,0.237672284,0.003578635
1784040799.712536,9599.000000000,408.000000000,1.279723525,0.348189682,-0.059537430,0.000000000
1784040799.722455,9600.000000000,432.000000000,1.279723525,0.348213643,-0.240040654,-0.001202887
1784040799.732481,9623.000000000,423.000000000,1.279699564,0.348213643,-0.060235503,-0.001201377
1784040799.742484,9600.000000000,396.000000000,1.279675603,0.348213643,-0.059402913,-0.002392658
1784040799.752540,9599.000000000,458.000000000,1.279747486,0.348189682,0.178988614,0.002389018
1784040799.762525,9583.000000000,414.000000000,1.279747486,0.348189682,0.298361867,0.003586809
1784040799.772515,9604.000000000,426.000000000,1.279747486,0.348189682,-0.119599273,0.000000000
1784040799.782533,9602.000000000,420.000000000,1.279723525,0.348213643,-0.239115095,-0.001197541
1784040799.792535,9602.000000000,442.000000000,1.279699564,0.348189682,-0.119571684,-0.002393769
1784040799.802512,9555.000000000,407.000000000,1.279747486,0.348189682,0.119972923,0.001199341
1784040799.812485,9603.000000000,466.000000000,1.279771447,0.348189682,0.300606198,0.003603227
1784040799.822545,9557.000000000,404.000000000,1.279747486,0.348189682,-0.059867206,0.000000000
1784040799.832448,9614.000000000,435.000000000,1.279747486,0.348213643,-0.240609012,-0.001200229
