__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset,lift,tilt
1782646977.013521,,,,2905.000000000,395.000000000,0.000000000,,
1782646977.013561,0.064019732,-0.071929455,0.000000000,,,,3.668063558,-4.121257664
1782646977.023576,,,,2861.000000000,328.000000000,0.000000000,,
1782646977.023624,0.064067669,-0.071953297,0.000000000,,,,3.670810150,-4.122623703
1782646977.033487,,,,2861.000000000,297.000000000,0.000000000,,
1782646977.033508,0.064043701,-0.071953297,0.000000000,,,,3.669436854,-4.122623703
1782646977.043515,,,,2914.000000000,334.000000000,0.000000000,,
1782646977.043538,0.064043701,-0.071929455,0.000000000,,,,3.669436854,-4.121257664
1782646977.053623,,,,2828.000000000,317.000000000,0.000000000,,
1782646977.053663,0.064043701,-0.071929455,0.000000000,,,,3.669436854,-4.121257664
1782646977.063526,,,,2925.000000000,408.000000000,0.000000000,,
1782646977.063555,0.064043701,-0.071929455,0.000000000,,,,3.669436854,-4.121257664
1782646977.073537,,,,2922.000000000,434.000000000,0.000000000,,
1782646977.073557,0.064067669,-0.071929455,0.000000000,,,,3.670810150,-4.121257664
1782646977.083477,,,,2902.000000000,439.000000000,0.000000000,,
1782646977.083502,0.064043701,-0.071929455,0.000000000,,,,3.669436854,-4.121257664
1782646977.093666,,,,2869.000000000,380.000000000,0.000000000,,
1782646977.093695,0.064043701,-0.071929455,0.000000000,,,,3.669436854,-4.121257664
1782646977.103527,,,,2874.000000000,337.000000000,0.000000000,,
1782646977.103546,0.064019732,-0.071953297,0.000000000,,,,3.668063558,-4.122623703
1782646977.113565,,,,2886.000000000,356.000000000,0.000000000,,
1782646977.113588,0.064019732,-0.071953297,0.000000000,,,,3.668063558,-4.122623703
1782646977.123487,,,,2896.000000000,353.000000000,0.000000000,,
1782646977.123500,0.064019732,-0.071881294,0.000000000,,,,3.668063558,-4.118498265
1782646977.133585,,,,2889.000000000,293.000000000,0.000000000,,
1782646977.133607,0.064043701,-0.071929455,0.000000000,,,,3.669436854,-4.121257664
1782646977.143645,,,,2891.000000000,328.000000000,0.000000000,,
1782646977.143684,0.064043701,-0.071929455,0.000000000,,,,3.669436854,-4.121257664
1782646977.153519,,,,2906.000000000,385.000000000,0.000000000,,
1782646977.153548,0.063995764,-0.071953297,0.000000000,,,,3.666690262,-4.122623703
1782646977.163614,,,,2867.000000000,391.000000000,0.000000000,,
1782646977.163634,0.063995764,-0.071929455,0.000000000,,,,3.666690262,-4.121257664
1782646977.173534,,,,2914.000000000,415.000000000,0.000000000,,
1782646977.173551,0.063971795,-0.071929455,0.000000000,,,,3.665316965,-4.121257664
1782646977.183526,,,,2891.000000000,399.000000000,0.000000000,,
1782646977.183549,0.064019732,-0.071929455,0.000000000,,,,3.668063558,-4.121257664
1782646977.193572,,,,2928.000000000,381.000000000,0.000000000,,
1782646977.193587,0.064019732,-0.071929455,0.000000000,,,,3.668063558,-4.121257664
1782646977.203560,,,,2878.000000000,356.000000000,0.000000000,,
1782646977.203579,0.064043701,-0.071953297,0.000000000,,,,3.669436854,-4.122623703
1782646977.213563,,,,2881.000000000,315.000000000,0.000000000,,
1782646977.213583,0.064019732,-0.071929455,0.000000000,,,,3.668063558,-4.121257664
1782646977.223493,,,,2850.000000000,342.000000000,0.000000000,,
1782646977.223511,0.064019732,-0.071929455,0.000000000,,,,3.668063558,-4.121257664
1782646977.233515,,,,2917.000000000,396.000000000,0.000000000,,
1782646977.233527,0.064043701,-0.071929455,0.000000000,,,,3.669436854,-4.121257664
1782646977.243593,,,,2916.000000000,431.000000000,0.000000000,,
1782646977.243621,0.064019732,-0.071929455,0.000000000,,,,3.668063558,-4.121257664
