__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset,lift,tilt,tilt1
1782647697.234648,,,,4115.000000000,406.000000000,0.000000000,,,
1782647697.234684,0.111716948,-0.067063808,0.000000000,,,,6.400915053,-3.842476427,-3.842476427
1782647697.244668,,,,4057.000000000,367.000000000,0.000000000,,,
1782647697.244696,0.111669011,-0.067039967,0.000000000,,,,6.398168461,-3.841110388,-3.841110388
1782647697.254824,,,,4065.000000000,377.000000000,0.000000000,,,
1782647697.254882,0.111788854,-0.067039967,0.000000000,,,,6.405034941,-3.841110388,-3.841110388
1782647697.264585,,,,4102.000000000,402.000000000,0.000000000,,,
1782647697.264603,0.111764885,-0.067039967,0.000000000,,,,6.403661645,-3.841110388,-3.841110388
1782647697.274836,,,,4124.000000000,410.000000000,0.000000000,,,
1782647697.274884,0.111764885,-0.067039967,0.000000000,,,,6.403661645,-3.841110388,-3.841110388
1782647697.284704,,,,4068.000000000,349.000000000,0.000000000,,,
1782647697.284733,0.111740917,-0.067039967,0.000000000,,,,6.402288349,-3.841110388,-3.841110388
1782647697.294688,,,,4112.000000000,385.000000000,0.000000000,,,
1782647697.294714,0.111716948,-0.067063808,0.000000000,,,,6.400915053,-3.842476427,-3.842476427
1782647697.304678,,,,4102.000000000,383.000000000,0.000000000,,,
1782647697.304694,0.111716948,-0.067063808,0.000000000,,,,6.400915053,-3.842476427,-3.842476427
1782647697.314618,,,,4108.000000000,395.000000000,0.000000000,,,
1782647697.314641,0.111740917,-0.067039967,0.000000000,,,,6.402288349,-3.841110388,-3.841110388
1782647697.324732,,,,4085.000000000,345.000000000,0.000000000,,,
1782647697.324767,0.111740917,-0.067063808,0.000000000,,,,6.402288349,-3.842476427,-3.842476427
1782647697.334552,,,,4036.000000000,372.000000000,0.000000000,,,
1782647697.334569,0.111764885,-0.067039967,0.000000000,,,,6.403661645,-3.841110388,-3.841110388
1782647697.344607,,,,4091.000000000,381.000000000,0.000000000,,,
1782647697.344629,0.111740917,-0.067039967,0.000000000,,,,6.402288349,-3.841110388,-3.841110388
1782647697.354523,,,,4081.000000000,353.000000000,0.000000000,,,
1782647697.354536,0.111740917,-0.067063808,0.000000000,,,,6.402288349,-3.842476427,-3.842476427
1782647697.364614,,,,4099.000000000,385.000000000,0.000000000,,,
1782647697.364636,0.111716948,-0.067063808,0.000000000,,,,6.400915053,-3.842476427,-3.842476427
1782647697.374857,,,,4104.000000000,404.000000000,0.000000000,,,
1782647697.374915,0.111740917,-0.067063808,0.000000000,,,,6.402288349,-3.842476427,-3.842476427
1782647697.384729,,,,4099.000000000,379.000000000,0.000000000,,,
1782647697.384760,0.111740917,-0.067039967,0.000000000,,,,6.402288349,-3.841110388,-3.841110388
1782647697.394631,,,,4083.000000000,384.000000000,0.000000000,,,
1782647697.394657,0.111764885,-0.067039967,0.000000000,,,,6.403661645,-3.841110388,-3.841110388
1782647697.404562,,,,4124.000000000,403.000000000,0.000000000,,,
1782647697.404577,0.111740917,-0.067063808,0.000000000,,,,6.402288349,-3.842476427,-3.842476427
1782647697.414597,,,,4145.000000000,424.000000000,0.000000000,,,
1782647697.414618,0.111740917,-0.067039967,0.000000000,,,,6.402288349,-3.841110388,-3.841110388
1782647697.424700,,,,4061.000000000,354.000000000,0.000000000,,,
1782647697.424716,0.111716948,-0.067063808,0.000000000,,,,6.400915053,-3.842476427,-3.842476427
1782647697.434603,,,,4126.000000000,419.000000000,0.000000000,,,
1782647697.434621,0.111740917,-0.067039967,0.000000000,,,,6.402288349,-3.841110388,-3.841110388
1782647697.444705,,,,4091.000000000,399.000000000,0.000000000,,,
1782647697.444732,0.111740917,-0.067039967,0.000000000,,,,6.402288349,-3.841110388,-3.841110388
1782647697.454655,,,,4150.000000000,419.000000000,0.000000000,,,
1782647697.454675,0.111764885,-0.067039967,0.000000000,,,,6.403661645,-3.841110388,-3.841110388
1782647697.464587,,,,4080.000000000,360.000000000,0.000000000,,,
1782647697.464600,0.111740917,-0.067063808,0.000000000,,,,6.402288349,-3.842476427,-3.842476427
1782647697.474673,,,,4075.000000000,364.000000000,0.000000000,,,
1782647697.474703,0.111716948,-0.067063808,0.000000000,,,,6.400915053,-3.842476427,-3.842476427
1782647697.484571,,,,4075.000000000,373.000000000,0.000000000,,,
1782647697.484586,0.111716948,-0.067039967,0.000000000,,,,6.400915053,-3.841110388,-3.841110388
1782647697.494636,,,,4163.000000000,438.000000000,0.000000000,,,
1782647697.494651,0.111740917,-0.067039967,0.000000000,,,,6.402288349,-3.841110388,-3.841110388
1782647697.504641,,,,4104.000000000,408.000000000,0.000000000,,,
1782647697.504653,0.111740917,-0.067039967,0.000000000,,,,6.402288349,-3.841110388,-3.841110388
1782647697.514668,,,,4058.000000000,364.000000000,0.000000000,,,
1782647697.514696,0.111740917,-0.067039967,0.000000000,,,,6.402288349,-3.841110388,-3.841110388
1782647697.524582,0.111740917,-0.067039967,0.000000000,,,,6.402288349,-3.841110388,-3.841110388
1782647697.524602,,,,4053.000000000,353.000000000,0.000000000,,,
1782647697.534547,,,,4146.000000000,431.000000000,0.000000000,,,
1782647697.534560,0.111692980,-0.067039967,0.000000000,,,,6.399541757,-3.841110388,-3.841110388
1782647697.544554,,,,4084.000000000,358.000000000,0.000000000,,,
1782647697.544569,0.111716948,-0.067039967,0.000000000,,,,6.400915053,-3.841110388,-3.841110388
1782647697.554673,,,,4120.000000000,414.000000000,0.000000000,,,
1782647697.554687,0.111740917,-0.067039967,0.000000000,,,,6.402288349,-3.841110388,-3.841110388
1782647697.564610,,,,4054.000000000,357.000000000,0.000000000,,,
1782647697.564624,0.111764885,-0.067039967,0.000000000,,,,6.403661645,-3.841110388,-3.841110388
1782647697.574617,,,,4091.000000000,391.000000000,0.000000000,,,
1782647697.574630,0.111764885,-0.067039967,0.000000000,,,,6.403661645,-3.841110388,-3.841110388
1782647697.584471,,,,4089.000000000,368.000000000,0.000000000,,,
1782647697.584485,0.111669011,-0.067063808,0.000000000,,,,6.398168461,-3.842476427,-3.842476427
1782647697.594591,,,,4084.000000000,392.000000000,0.000000000,,,
1782647697.594605,0.111692980,-0.067039967,0.000000000,,,,6.399541757,-3.841110388,-3.841110388
1782647697.604678,,,,4028.000000000,356.000000000,0.000000000,,,
1782647697.604693,0.111716948,-0.067039967,0.000000000,,,,6.400915053,-3.841110388,-3.841110388
1782647697.614595,,,,4097.000000000,410.000000000,0.000000000,,,
1782647697.614610,0.111740917,-0.067039967,0.000000000,,,,6.402288349,-3.841110388,-3.841110388
1782647697.624647,,,,4046.000000000,350.000000000,0.000000000,,,
1782647697.624660,0.111764885,-0.067063808,0.000000000,,,,6.403661645,-3.842476427,-3.842476427
1782647697.634639,,,,4068.000000000,369.000000000,0.000000000,,,
1782647697.634653,0.111764885,-0.067039967,0.000000000,,,,6.403661645,-3.841110388,-3.841110388
1782647697.644656,,,,4102.000000000,418.000000000,0.000000000,,,
1782647697.644685,0.111692980,-0.067039967,0.000000000,,,,6.399541757,-3.841110388,-3.841110388
1782647697.654571,,,,4092.000000000,379.000000000,0.000000000,,,
1782647697.654588,0.111669011,-0.067039967,0.000000000,,,,6.398168461,-3.841110388,-3.841110388
1782647697.664597,,,,4052.000000000,373.000000000,0.000000000,,,
1782647697.664612,0.111692980,-0.067039967,0.000000000,,,,6.399541757,-3.841110388,-3.841110388
1782647697.674590,,,,4068.000000000,365.000000000,0.000000000,,,
1782647697.674605,0.111740917,-0.067039967,0.000000000,,,,6.402288349,-3.841110388,-3.841110388
1782647697.684597,,,,4100.000000000,388.000000000,0.000000000,,,
1782647697.684644,0.111764885,-0.067039967,0.000000000,,,,6.403661645,-3.841110388,-3.841110388
1782647697.694643,,,,4100.000000000,377.000000000,0.000000000,,,
1782647697.694657,0.111669011,-0.067039967,0.000000000,,,,6.398168461,-3.841110388,-3.841110388
1782647697.704571,,,,4081.000000000,387.000000000,0.000000000,,,
1782647697.704584,0.111692980,-0.067039967,0.000000000,,,,6.399541757,-3.841110388,-3.841110388
1782647697.714531,,,,4092.000000000,404.000000000,0.000000000,,,
1782647697.714545,0.111645043,-0.067039967,0.000000000,,,,6.396795165,-3.841110388,-3.841110388
1782647697.724532,,,,4060.000000000,356.000000000,0.000000000,,,
1782647697.724545,0.111740917,-0.067039967,0.000000000,,,,6.402288349,-3.841110388,-3.841110388
1782647697.734580,,,,4064.000000000,365.000000000,0.000000000,,,
1782647697.734629,0.111764885,-0.067039967,0.000000000,,,,6.403661645,-3.841110388,-3.841110388
1782647697.744584,,,,4103.000000000,404.000000000,0.000000000,,,
1782647697.744632,0.111764885,-0.067039967,0.000000000,,,,6.403661645,-3.841110388,-3.841110388
1782647697.754703,,,,4151.000000000,422.000000000,0.000000000,,,
1782647697.754764,0.111669011,-0.067039967,0.000000000,,,,6.398168461,-3.841110388,-3.841110388
1782647697.764573,,,,4075.000000000,356.000000000,0.000000000,,,
1782647697.764597,0.111669011,-0.067039967,0.000000000,,,,6.398168461,-3.841110388,-3.841110388
