time,raw_b,raw_r,median_b,median_r,lpf_b,lpf_r,lift_angle(deg)
0.000000,4115.000000,406.000000,4115.000000,406.000000,4115.000000,406.000000,6.400910
0.009984,4057.000000,367.000000,4086.000000,386.500000,4109.200000,402.100000,6.400910
0.010012,4057.000000,367.000000,4057.000000,367.000000,4103.980000,398.590000,6.398163
0.020140,4065.000000,377.000000,4061.000000,372.000000,4100.082000,396.431000,6.398163
0.020198,4065.000000,377.000000,4065.000000,377.000000,4096.573800,394.487900,6.405030
0.029901,4102.000000,402.000000,4065.000000,377.000000,4097.116420,395.239110,6.405030
0.029919,4102.000000,402.000000,4065.000000,377.000000,4097.604778,395.915199,6.403656
0.040152,4124.000000,410.000000,4083.500000,389.500000,4100.244300,397.323679,6.403656
0.040200,4124.000000,410.000000,4102.000000,402.000000,4102.619870,398.591311,6.403656
0.050020,4068.000000,349.000000,4085.000000,389.500000,4099.157883,393.632180,6.403656
0.050049,4068.000000,349.000000,4068.000000,377.000000,4096.042095,389.168962,6.402283
0.060004,4112.000000,385.000000,4085.000000,381.000000,4097.637885,388.752066,6.402283
0.060030,4112.000000,385.000000,4102.000000,385.000000,4099.074097,388.376859,6.400910
0.069994,4102.000000,383.000000,4102.000000,384.000000,4099.366687,387.839173,6.400910
0.070010,4102.000000,383.000000,4102.000000,383.000000,4099.630018,387.355256,6.400910
0.079934,4108.000000,395.000000,4102.000000,384.000000,4100.467017,388.119730,6.400910
0.079957,4108.000000,395.000000,4102.000000,385.000000,4101.220315,388.807757,6.402283
0.090048,4085.000000,345.000000,4102.000000,384.000000,4099.598283,384.426982,6.402283
0.090083,4085.000000,345.000000,4102.000000,383.000000,4098.138455,380.484283,6.402283
0.099868,4036.000000,372.000000,4102.000000,383.000000,4091.924610,379.635855,6.402283
0.099885,4036.000000,372.000000,4102.000000,383.000000,4086.332149,378.872270,6.403656
0.109923,4091.000000,381.000000,4096.500000,382.000000,4086.798934,379.085043,6.403656
0.109945,4091.000000,381.000000,4091.000000,381.000000,4087.219040,379.276538,6.402283
0.119839,4081.000000,353.000000,4091.000000,381.000000,4086.597136,376.648885,6.402283
0.119852,4081.000000,353.000000,4091.000000,381.000000,4086.037423,374.283996,6.402283
0.129930,4099.000000,385.000000,4091.000000,381.000000,4087.333680,375.355596,6.402283
0.129952,4099.000000,385.000000,4091.000000,381.000000,4088.500312,376.320037,6.400910
0.140173,4104.000000,404.000000,4095.000000,382.000000,4090.050281,379.088033,6.400910
0.140231,4104.000000,404.000000,4099.000000,383.000000,4091.445253,381.579230,6.402283
0.150045,4099.000000,379.000000,4099.000000,382.000000,4092.200728,381.321307,6.402283
0.150076,4099.000000,379.000000,4099.000000,381.000000,4092.880655,381.089176,6.402283
0.159947,4083.000000,384.000000,4099.000000,382.000000,4091.892589,381.380259,6.402283
0.159973,4083.000000,384.000000,4099.000000,383.000000,4091.003331,381.642233,6.403656
0.169878,4124.000000,403.000000,4099.000000,383.000000,4094.302997,383.778009,6.403656
0.169893,4124.000000,403.000000,4099.000000,383.000000,4097.272698,385.700208,6.402283
0.179913,4145.000000,424.000000,4099.000000,383.500000,4102.045428,389.530188,6.402283
0.179934,4145.000000,424.000000,4099.000000,384.000000,4106.340885,392.977169,6.402283
0.190016,4061.000000,354.000000,4099.000000,383.500000,4101.806797,389.079452,6.402283
0.190032,4061.000000,354.000000,4099.000000,383.000000,4097.726117,385.571507,6.400910
0.199919,4126.000000,419.000000,4099.000000,383.500000,4100.553505,388.914356,6.400910
0.199937,4126.000000,419.000000,4099.000000,384.000000,4103.098155,391.922920,6.402283
0.210021,4091.000000,399.000000,4099.000000,384.000000,4101.888339,392.630628,6.402283
0.210048,4091.000000,399.000000,4099.000000,384.000000,4100.799505,393.267566,6.402283
0.219971,4150.000000,419.000000,4099.000000,384.500000,4105.719555,395.840809,6.402283
0.219991,4150.000000,419.000000,4099.000000,385.000000,4110.147599,398.156728,6.403656
0.229903,4080.000000,360.000000,4099.000000,384.500000,4107.132839,394.341055,6.403656
0.229916,4080.000000,360.000000,4099.000000,384.000000,4104.419555,390.906950,6.402283
0.239989,4075.000000,364.000000,4099.000000,384.000000,4101.477600,388.216255,6.402283
0.240019,4075.000000,364.000000,4099.000000,384.000000,4098.829840,385.794629,6.400910
0.249887,4075.000000,373.000000,4095.000000,383.500000,4096.446856,384.515166,6.400910
0.249902,4075.000000,373.000000,4091.000000,383.000000,4094.302170,383.363650,6.400910
0.259952,4163.000000,438.000000,4095.000000,383.500000,4101.171953,388.827285,6.400910
0.259967,4163.000000,438.000000,4099.000000,384.000000,4107.354758,393.744556,6.402283
0.269957,4104.000000,408.000000,4099.000000,384.500000,4107.019282,395.170101,6.402283
0.269969,4104.000000,408.000000,4099.000000,385.000000,4106.717354,396.453091,6.402283
0.279984,4058.000000,364.000000,4099.000000,384.500000,4101.845619,393.207782,6.402283
0.280012,4058.000000,364.000000,4099.000000,384.000000,4097.461057,390.287003,6.402283
0.289898,4058.000000,364.000000,4095.000000,383.500000,4093.514951,387.658303,6.402283
0.289918,4053.000000,353.000000,4091.000000,383.000000,4089.463456,384.192473,6.402283
0.299863,4146.000000,431.000000,4095.000000,383.500000,4095.117110,388.873225,6.402283
0.299876,4146.000000,431.000000,4099.000000,384.000000,4100.205399,393.085903,6.399536
0.309870,4084.000000,358.000000,4095.000000,383.500000,4098.584859,389.577313,6.399536
0.309885,4084.000000,358.000000,4091.000000,383.000000,4097.126373,386.419581,6.400910
0.319989,4120.000000,414.000000,4091.000000,383.500000,4099.413736,389.177623,6.400910
0.320003,4120.000000,414.000000,4091.000000,384.000000,4101.472362,391.659861,6.402283
0.329926,4054.000000,357.000000,4091.000000,382.500000,4096.725126,388.193875,6.402283
0.329940,4054.000000,357.000000,4091.000000,381.000000,4092.452614,385.074487,6.403656
0.339933,4091.000000,391.000000,4091.000000,382.500000,4092.307352,385.667039,6.403656
0.339946,4091.000000,391.000000,4091.000000,384.000000,4092.176617,386.200335,6.403656
0.349787,4089.000000,368.000000,4091.000000,384.000000,4091.858955,384.380301,6.403656
0.349801,4089.000000,368.000000,4091.000000,384.000000,4091.573060,382.742271,6.398163
0.359907,4084.000000,392.000000,4091.000000,384.500000,4090.815754,383.668044,6.398163
0.359921,4084.000000,392.000000,4091.000000,385.000000,4090.134178,384.501240,6.399536
0.369994,4028.000000,356.000000,4091.000000,385.000000,4083.920761,381.651116,6.399536
0.370009,4028.000000,356.000000,4091.000000,385.000000,4078.328685,379.086004,6.400910
0.379911,4097.000000,410.000000,4091.000000,388.000000,4080.195816,382.177404,6.400910
0.379926,4097.000000,410.000000,4091.000000,391.000000,4081.876234,384.959663,6.402283
0.389963,4046.000000,350.000000,4090.000000,387.500000,4078.288611,381.463697,6.402283
0.389976,4046.000000,350.000000,4089.000000,384.000000,4075.059750,378.317327,6.403656
0.399955,4068.000000,369.000000,4086.500000,384.000000,4074.353775,377.385595,6.403656
0.399969,4068.000000,369.000000,4084.000000,384.000000,4073.718397,376.547035,6.403656
0.409972,4102.000000,418.000000,4086.500000,387.500000,4076.546558,380.692332,6.403656
0.410001,4102.000000,418.000000,4089.000000,391.000000,4079.091902,384.423098,6.399536
0.419887,4092.000000,379.000000,4089.000000,385.000000,4080.382712,383.880789,6.399536
