__time,lift_angle(deg),lpf_b,lpf_r,median_b,median_r,raw_b,raw_r,time
35.609326,51.753846000,5550.119093000,430.546713000,5560.000000000,435.000000000,5593.000000000,467.000000000,35.609326000
35.609338,51.752473000,5554.407184000,434.192042000,5560.000000000,435.000000000,5593.000000000,467.000000000,35.609338000
35.619369,51.752473000,5557.166465000,436.872837000,5560.000000000,435.000000000,5582.000000000,461.000000000,35.619369000
35.619391,51.752473000,5559.649819000,439.285554000,5560.000000000,435.000000000,5582.000000000,461.000000000,35.619391000
35.629417,51.752473000,5559.184837000,437.756998000,5560.000000000,435.000000000,5555.000000000,424.000000000,35.629417000
35.629449,51.752473000,5558.766353000,436.381298000,5560.000000000,435.000000000,5555.000000000,424.000000000,35.629449000
35.639389,51.752473000,5555.189718000,436.143169000,5560.000000000,435.000000000,5523.000000000,434.000000000,35.639389000
35.639404,51.752473000,5551.970746000,435.928852000,5560.000000000,435.000000000,5523.000000000,434.000000000,35.639404000
35.649313,51.752473000,5553.373671000,438.435967000,5560.000000000,435.000000000,5566.000000000,461.000000000,35.649313000
35.649326,51.752473000,5554.636304000,440.692370000,5560.000000000,435.000000000,5566.000000000,461.000000000,35.649326000
35.659419,51.752473000,5553.272674000,438.023133000,5560.000000000,434.500000000,5541.000000000,414.000000000,35.659419000
35.659449,51.752473000,5552.045407000,435.620820000,5560.000000000,434.000000000,5541.000000000,414.000000000,35.659449000
35.669398,51.752473000,5552.040866000,435.658738000,5558.000000000,434.500000000,5552.000000000,436.000000000,35.669398000
35.669426,51.752473000,5552.036779000,435.692864000,5556.000000000,435.000000000,5552.000000000,436.000000000,35.669426000
35.679488,51.752473000,5549.133101000,434.123578000,5555.500000000,434.500000000,5523.000000000,420.000000000,35.679488000
35.679514,51.752473000,5546.519791000,432.711220000,5555.000000000,434.000000000,5523.000000000,420.000000000,35.679514000
35.689390,51.752473000,5543.867812000,430.040098000,5555.000000000,431.000000000,5520.000000000,406.000000000,35.689390000
35.689404,51.752473000,5541.481031000,427.636088000,5555.000000000,428.000000000,5520.000000000,406.000000000,35.689404000
35.699325,51.752473000,5548.432928000,434.072479000,5555.000000000,428.000000000,5611.000000000,492.000000000,35.699325000
35.699339,51.752473000,5554.689635000,439.865231000,5555.000000000,428.000000000,5611.000000000,492.000000000,35.699339000
35.709270,51.752473000,5550.320672000,438.178708000,5553.500000000,427.000000000,5511.000000000,423.000000000,35.709270000
35.709290,51.752473000,5546.388604000,436.660837000,5552.000000000,426.000000000,5511.000000000,423.000000000,35.709290000
35.719482,51.752473000,5546.149744000,434.094754000,5548.000000000,425.000000000,5544.000000000,411.000000000,35.719482000
35.719503,51.752473000,5545.934770000,431.785278000,5544.000000000,424.000000000,5544.000000000,411.000000000,35.719503000
35.729473,51.752473000,5546.741293000,433.606750000,5548.000000000,425.000000000,5554.000000000,450.000000000,35.729473000
35.729523,51.752473000,5547.467163000,435.246075000,5552.000000000,426.000000000,5554.000000000,450.000000000,35.729523000
35.739440,51.752473000,5545.820447000,435.121468000,5552.000000000,427.000000000,5531.000000000,434.000000000,35.739440000
35.739455,51.751100000,5544.338402000,435.009321000,5552.000000000,428.000000000,5531.000000000,434.000000000,35.739455000
35.749360,51.751100000,5546.104562000,435.008389000,5553.000000000,428.000000000,5562.000000000,435.000000000,35.749360000
35.749384,51.752473000,5547.694106000,435.007550000,5554.000000000,428.000000000,5562.000000000,435.000000000,35.749384000
35.759418,51.752473000,5552.624695000,437.706795000,5554.000000000,428.000000000,5597.000000000,462.000000000,35.759418000
35.759449,51.752473000,5557.062226000,440.136116000,5554.000000000,428.000000000,5597.000000000,462.000000000,35.759449000
35.769416,51.752473000,5555.756003000,440.022504000,5553.000000000,428.000000000,5544.000000000,439.000000000,35.769416000
35.769449,51.752473000,5554.580403000,439.920254000,5552.000000000,428.000000000,5544.000000000,439.000000000,35.769449000
35.779507,51.752473000,5556.122363000,440.228228000,5552.000000000,428.000000000,5570.000000000,443.000000000,35.779507000
35.779543,51.751100000,5557.510126000,440.505405000,5552.000000000,428.000000000,5570.000000000,443.000000000,35.779543000
35.789374,51.751100000,5557.959114000,438.354865000,5553.000000000,428.000000000,5562.000000000,419.000000000,35.789374000
35.789414,51.751100000,5558.363202000,436.419378000,5554.000000000,428.000000000,5562.000000000,419.000000000,35.789414000
35.799322,51.751100000,5553.426882000,429.177441000,5553.000000000,428.000000000,5509.000000000,364.000000000,35.799322000
35.799346,51.752473000,5548.984194000,422.659696000,5552.000000000,428.000000000,5509.000000000,364.000000000,35.799346000
35.809471,51.752473000,5547.685774000,421.093727000,5552.000000000,428.000000000,5536.000000000,407.000000000,35.809471000
35.809505,51.752473000,5546.517197000,419.684354000,5552.000000000,428.000000000,5536.000000000,407.000000000,35.809505000
35.819446,51.752473000,5547.865477000,423.215919000,5552.000000000,431.000000000,5560.000000000,455.000000000,35.819446000
35.819469,51.751100000,5549.078930000,426.394327000,5552.000000000,434.000000000,5560.000000000,455.000000000,35.819469000
35.829647,51.751100000,5552.471037000,429.854894000,5553.000000000,434.000000000,5583.000000000,461.000000000,35.829647000
35.829715,51.751100000,5555.523933000,432.969405000,5554.000000000,434.000000000,5583.000000000,461.000000000,35.829715000
35.839386,51.751100000,5549.771540000,431.172464000,5554.000000000,434.000000000,5498.000000000,415.000000000,35.839386000
35.839409,51.751100000,5544.594386000,429.555218000,5554.000000000,434.000000000,5498.000000000,415.000000000,35.839409000
35.849384,51.751100000,5547.534947000,431.699696000,5554.000000000,434.500000000,5574.000000000,451.000000000,35.849384000
35.849416,51.751100000,5550.181452000,433.629726000,5554.000000000,435.000000000,5574.000000000,451.000000000,35.849416000
35.859486,51.751100000,5545.863307000,431.666754000,5553.000000000,434.500000000,5507.000000000,414.000000000,35.859486000
35.859511,51.752473000,5541.976976000,429.900078000,5552.000000000,434.000000000,5507.000000000,414.000000000,35.859511000
35.869514,51.752473000,5545.279279000,431.410071000,5552.000000000,434.000000000,5575.000000000,445.000000000,35.869514000
