__time,lift_angle(deg),lpf_b,lpf_r,median_b,median_r,raw_b,raw_r,time
25.949601,34.994201000,5168.778112000,395.135579000,5174.000000000,402.000000000,5150.000000000,375.000000000,25.949601000
25.959394,34.994201000,5168.300301000,394.522021000,5174.000000000,399.000000000,5164.000000000,389.000000000,25.959394000
25.959406,34.996950000,5167.870271000,393.969819000,5174.000000000,396.000000000,5164.000000000,389.000000000,25.959406000
25.969551,34.996950000,5163.583244000,389.772837000,5174.000000000,396.000000000,5125.000000000,352.000000000,25.969551000
25.969580,34.995577000,5159.724919000,385.995553000,5174.000000000,396.000000000,5125.000000000,352.000000000,25.969580000
25.979672,34.995577000,5160.952427000,386.695998000,5174.000000000,396.000000000,5172.000000000,393.000000000,25.979672000
25.979707,34.995577000,5162.057185000,387.326398000,5174.000000000,396.000000000,5172.000000000,393.000000000,25.979707000
25.989513,34.995577000,5161.551466000,386.093758000,5174.000000000,396.000000000,5157.000000000,375.000000000,25.989513000
25.989527,34.994201000,5161.096320000,384.984382000,5174.000000000,396.000000000,5157.000000000,375.000000000,25.989527000
25.999410,34.994201000,5158.086688000,385.685944000,5173.000000000,396.000000000,5131.000000000,392.000000000,25.999410000
25.999428,34.994201000,5155.378019000,386.317350000,5172.000000000,396.000000000,5131.000000000,392.000000000,25.999428000
26.009507,34.994201000,5157.840217000,386.885615000,5172.000000000,396.000000000,5180.000000000,392.000000000,26.009507000
26.009544,34.995577000,5160.056195000,387.397053000,5172.000000000,396.000000000,5180.000000000,392.000000000,26.009544000
26.019387,34.995577000,5163.650576000,389.657348000,5172.000000000,396.000000000,5196.000000000,410.000000000,26.019387000
26.019400,34.995577000,5166.885518000,391.691613000,5172.000000000,396.000000000,5196.000000000,410.000000000,26.019400000
26.029539,34.995577000,5166.596966000,391.022452000,5172.000000000,394.500000000,5164.000000000,385.000000000,26.029539000
26.029583,34.995577000,5166.337270000,390.420207000,5172.000000000,393.000000000,5164.000000000,385.000000000,26.029583000
26.039440,34.995577000,5167.903543000,391.778186000,5172.000000000,393.000000000,5182.000000000,404.000000000,26.039440000
26.039464,34.995577000,5169.313188000,393.000367000,5172.000000000,393.000000000,5182.000000000,404.000000000,26.039464000
26.049357,34.995577000,5167.681870000,391.700331000,5172.000000000,393.000000000,5153.000000000,380.000000000,26.049357000
26.049369,34.994201000,5166.213683000,390.530298000,5172.000000000,393.000000000,5153.000000000,380.000000000,26.049369000
26.059486,34.994201000,5169.992314000,393.077268000,5172.000000000,393.000000000,5204.000000000,416.000000000,26.059486000
26.059519,34.994201000,5173.393083000,395.369541000,5172.000000000,393.000000000,5204.000000000,416.000000000,26.059519000
26.069569,34.994201000,5170.353775000,394.332587000,5172.000000000,393.000000000,5143.000000000,385.000000000,26.069569000
26.069633,34.995577000,5167.618397000,393.399328000,5172.000000000,393.000000000,5143.000000000,385.000000000,26.069633000
26.079458,34.995577000,5168.556557000,395.559395000,5172.000000000,393.000000000,5177.000000000,415.000000000,26.079458000
