__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,__time,acc_g,vel_g
1784040849.833009,8447.000000000,451.000000000,0.490849912,0.042663842,1784040849.833009005,-0.057651747,-0.001175329
1784040849.842999,8433.000000000,420.000000000,0.490849912,0.042663842,1784040849.842998981,-0.119855995,-0.001202556
1784040849.852623,8475.000000000,498.000000000,0.490873873,0.042687811,1784040849.852622986,0.122197766,0.001221573
1784040849.862762,8460.000000000,471.000000000,0.490873873,0.042687811,1784040849.862761974,0.122199135,0.001212436
1784040849.872665,8495.000000000,497.000000000,0.490873873,0.042687811,1784040849.872664928,-0.060950809,0.000000000
1784040849.883013,8475.000000000,504.000000000,0.490849912,0.042687811,1784040849.883013010,-0.118297045,-0.001183202
1784040849.893248,8498.000000000,510.000000000,0.490873873,0.042663842,1784040849.893248081,0.000000000,0.000000000
1784040849.902942,8495.000000000,492.000000000,0.490873873,0.042663842,1784040849.902941942,0.119699581,0.001202311
1784040849.912815,8454.000000000,443.000000000,0.490897834,0.042687811,1784040849.912815094,0.062581579,0.001224549
1784040849.922731,8428.000000000,438.000000000,0.490849912,0.042687811,1784040849.922730923,-0.121945835,-0.001210843
1784040849.932640,8470.000000000,485.000000000,0.490849912,0.042687811,1784040849.932640076,-0.183694322,-0.002417231
1784040849.942757,8447.000000000,470.000000000,0.490897834,0.042687811,1784040849.942756891,0.179951355,0.002392943
1784040849.952887,8428.000000000,465.000000000,0.490873873,0.042687811,1784040849.952887058,0.177845702,0.001183481
1784040849.963020,8475.000000000,501.000000000,0.490849912,0.042687811,1784040849.963020086,-0.234818751,-0.002365068
1784040849.972687,8480.000000000,482.000000000,0.490873873,0.042687811,1784040849.972687006,-0.059770472,0.000000000
1784040849.982764,8447.000000000,479.000000000,0.490873873,0.042687811,1784040849.982764006,0.181250840,0.001213578
1784040849.992894,8448.000000000,462.000000000,0.490873873,0.042687811,1784040849.992893934,0.000000000,0.000000000
1784040850.002808,8439.000000000,474.000000000,0.490873873,0.042687811,1784040850.002808094,-0.060546852,0.000000000
1784040850.012819,8439.000000000,474.000000000,0.490849912,0.042663842,1784040850.012819052,-0.060352322,-0.001202541
1784040850.022914,8462.000000000,479.000000000,0.490873873,0.042663842,1784040850.022913933,0.000000000,0.000000000
1784040850.032696,8437.000000000,465.000000000,0.490873873,0.042663842,1784040850.032696009,0.121150223,0.001205499
1784040850.042639,8411.000000000,432.000000000,0.490849912,0.042663842,1784040850.042639017,-0.061584075,-0.001214751
1784040850.052801,8450.000000000,474.000000000,0.490873873,0.042663842,1784040850.052800894,-0.059959767,0.000000000
1784040850.062922,8459.000000000,496.000000000,0.490873873,0.042687811,1784040850.062922001,0.118135060,0.001181352
1784040850.072808,8497.000000000,512.000000000,0.490873873,0.042687811,1784040850.072808027,0.000000000,0.000000000
1784040850.082796,8440.000000000,478.000000000,0.490873873,0.042663842,1784040850.082796097,-0.059441812,0.000000000
1784040850.092795,8436.000000000,474.000000000,0.490897834,0.042663842,1784040850.092794895,0.059981410,0.001198841
1784040850.102816,8428.000000000,481.000000000,0.490897834,0.042663842,1784040850.102816105,0.059778722,0.001196813
1784040850.112894,8468.000000000,525.000000000,0.490849912,0.042663842,1784040850.112894058,-0.178275900,-0.002384313
1784040850.122847,8433.000000000,465.000000000,0.490873873,0.042687811,1784040850.122847080,-0.119465675,-0.001196201
1784040850.133127,8428.000000000,486.000000000,0.490873873,0.042663842,1784040850.133126974,0.176371961,0.001184248
1784040850.142853,8433.000000000,488.000000000,0.490873873,0.042663842,1784040850.142853022,0.059792274,0.000000000
1784040850.152729,8432.000000000,498.000000000,0.490873873,0.042663842,1784040850.152729034,-0.060415187,0.000000000
1784040850.162726,8431.000000000,500.000000000,0.490897834,0.042639874,1784040850.162725925,0.060672783,0.001205730
1784040850.173099,8423.000000000,500.000000000,0.490897834,0.042663842,1784040850.173099041,0.057743551,0.001176264
1784040850.182801,8428.000000000,486.000000000,0.490873873,0.042663842,1784040850.182801008,-0.119516441,-0.001193573
1784040850.192833,8446.000000000,539.000000000,0.490897834,0.042663842,1784040850.192832947,-0.059605526,0.000000000
1784040850.202585,8442.000000000,512.000000000,0.490897834,0.042663842,1784040850.202584982,0.121550471,0.001211150
1784040850.212670,8398.000000000,474.000000000,0.490873873,0.042663842,1784040850.212670088,-0.060894675,-0.001207933
1784040850.222643,8407.000000000,510.000000000,0.490873873,0.042663842,1784040850.222642899,-0.119939866,-0.001194594
1784040850.233003,8424.000000000,510.000000000,0.490921795,0.042663842,1784040850.233002901,0.175309805,0.002356776
1784040850.242912,8405.000000000,506.000000000,0.490921795,0.042663842,1784040850.242912054,0.175577764,0.002364261
1784040850.252830,8405.000000000,500.000000000,0.490897834,0.042687811,1784040850.252830029,-0.179829622,-0.001208557
1784040850.262855,8428.000000000,543.000000000,0.490897834,0.042663842,1784040850.262855053,-0.178799362,-0.001201492
1784040850.272740,8388.000000000,508.000000000,0.490921795,0.042663842,1784040850.272739887,0.121139064,0.001203420
1784040850.282809,8384.000000000,496.000000000,0.490921795,0.042663842,1784040850.282809019,0.120390413,0.001200803
1784040850.292804,8435.000000000,547.000000000,0.490873873,0.042663842,1784040850.292804003,-0.179033759,-0.002388563
1784040850.302963,8364.000000000,502.000000000,0.490921795,0.042687811,1784040850.302963018,-0.059580667,0.000000000
1784040850.312692,8447.000000000,541.000000000,0.490921795,0.042687811,1784040850.312691927,0.241247595,0.002409523
1784040850.322663,8394.000000000,517.000000000,0.490921795,0.042687811,1784040850.322663069,0.000000000,0.000000000
1784040850.332643,8359.000000000,493.000000000,0.490897834,0.042663842,1784040850.332643032,-0.180968045,-0.001200989
1784040850.343017,8376.000000000,501.000000000,0.490897834,0.042663842,1784040850.343017101,-0.057840995,-0.001177256
1784040850.352810,8403.000000000,525.000000000,0.490921795,0.042639874,1784040850.352809906,0.118472201,0.001188168
1784040850.362940,8396.000000000,496.000000000,0.490897834,0.042663842,1784040850.362940073,0.059088973,0.000000000
1784040850.372726,8338.000000000,453.000000000,0.490873873,0.042663842,1784040850.372725964,-0.180472565,-0.002406177
1784040850.382664,8372.000000000,493.000000000,0.490921795,0.042687811,1784040850.382663965,0.061588541,0.001214795
1784040850.392684,8405.000000000,517.000000000,0.490921795,0.042687811,1784040850.392683983,0.240880422,0.002401204
1784040850.402947,8376.000000000,475.000000000,0.490897834,0.042687811,1784040850.402946949,-0.118141378,-0.001181380
1784040850.412950,8377.000000000,504.000000000,0.490897834,0.042663842,1784040850.412950039,-0.176815908,-0.001182283
1784040850.422719,8359.000000000,496.000000000,0.490921795,0.042639874,1784040850.422719002,0.121039632,0.001211851
1784040850.432652,8397.000000000,494.000000000,0.490921795,0.042639874,1784040850.432651997,0.121741600,0.001216206
1784040850.442742,8393.000000000,475.000000000,0.490873873,0.042687811,1784040850.442742109,-0.180048022,-0.002393313
1784040850.452967,8411.000000000,482.000000000,0.490873873,0.042663842,1784040850.452966928,-0.175987178,-0.002358961
1784040850.463092,8417.000000000,492.000000000,0.490897834,0.042687811,1784040850.463092089,0.175475810,0.001177491
1784040850.473165,8380.000000000,463.000000000,0.490897834,0.042687811,1784040850.473165035,0.175524557,0.001186303
1784040850.482882,8381.000000000,467.000000000,0.490897834,0.042711779,1784040850.482882023,-0.059497320,0.000000000
1784040850.492688,8389.000000000,466.000000000,0.490873873,0.042663842,1784040850.492687941,-0.123630863,-0.001227331
1784040850.502811,8417.000000000,485.000000000,0.490873873,0.042663842,1784040850.502810955,-0.060332107,-0.001202340
1784040850.512691,8408.000000000,489.000000000,0.490873873,0.042639874,1784040850.512691021,0.061357832,0.000000000
1784040850.522887,8442.000000000,466.000000000,0.490873873,0.042687811,1784040850.522886992,0.059889315,0.000000000
1784040850.533207,8390.000000000,447.000000000,0.490873873,0.042687811,1784040850.533206940,0.000000000,0.000000000
1784040850.543091,8424.000000000,451.000000000,0.490849912,0.042663842,1784040850.543091059,-0.058697323,-0.001185939
1784040850.552863,8404.000000000,458.000000000,0.490873873,0.042687811,1784040850.552862883,0.000000000,0.000000000
1784040850.562700,8411.000000000,465.000000000,0.490873873,0.042687811,1784040850.562700033,0.122794927,0.001221944
1784040850.572871,8423.000000000,418.000000000,0.490873873,0.042687811,1784040850.572870970,0.000000000,0.000000000
1784040850.582651,8424.000000000,465.000000000,0.490849912,0.042663842,1784040850.582650900,-0.121450080,-0.001201033
1784040850.592809,8432.000000000,458.000000000,0.490849912,0.042663842,1784040850.592808962,-0.060274405,-0.001201765
1784040850.602671,8425.000000000,478.000000000,0.490849912,0.042687811,1784040850.602670908,0.059990896,0.000000000
1784040850.612667,8435.000000000,459.000000000,0.490849912,0.042687811,1784040850.612667084,0.060520461,0.000000000
1784040850.622851,8446.000000000,473.000000000,0.490873873,0.042687811,1784040850.622850895,0.058838880,0.001187368
1784040850.633138,8433.000000000,439.000000000,0.490873873,0.042687811,1784040850.633137941,0.057173347,0.001170442
1784040850.643073,8486.000000000,463.000000000,0.490849912,0.042687811,1784040850.643073082,-0.117307583,-0.001184876
1784040850.652893,8419.000000000,434.000000000,0.490873873,0.042687811,1784040850.652893066,-0.059248940,0.000000000
1784040850.662810,8470.000000000,450.000000000,0.490849912,0.042687811,1784040850.662810087,0.060033223,0.000000000
1784040850.672813,8446.000000000,443.000000000,0.490849912,0.042687811,1784040850.672812939,-0.060387000,-0.001202887
1784040850.682638,8470.000000000,457.000000000,0.490825921,0.042663842,1784040850.682637930,-0.061023211,-0.001209959
1784040850.692570,8487.000000000,473.000000000,0.490873873,0.042663842,1784040850.692569971,0.122264623,0.001212757
1784040850.702508,8444.000000000,443.000000000,0.490873873,0.042687811,1784040850.702507973,0.182343049,0.002413249
1784040850.712425,8432.000000000,450.000000000,0.490873873,0.042687811,1784040850.712424994,-0.061080640,0.000000000
1784040850.722671,8404.000000000,411.000000000,0.490849912,0.042663842,1784040850.722671032,-0.178629985,-0.001188393
1784040850.732558,8433.000000000,459.000000000,0.490849912,0.042663842,1784040850.732558012,-0.059117932,-0.001190180
1784040850.742560,8443.000000000,439.000000000,0.490849912,0.042687811,1784040850.742559910,0.059751625,0.000000000
1784040850.752512,8389.000000000,451.000000000,0.490873873,0.042687811,1784040850.752511978,0.119821370,0.001200789
1784040850.762519,8415.000000000,424.000000000,0.490873873,0.042687811,1784040850.762518883,0.060146315,0.001200487
1784040850.772892,8451.000000000,471.000000000,0.490849912,0.042663842,1784040850.772891998,-0.116609413,-0.001175714
1784040850.782566,8433.000000000,449.000000000,0.490873873,0.042663842,1784040850.782566071,-0.059885929,0.000000000
1784040850.792571,8431.000000000,451.000000000,0.490873873,0.042687811,1784040850.792571068,0.121621227,0.001217621
1784040850.802557,8427.000000000,447.000000000,0.490873873,0.042687811,1784040850.802556992,0.000000000,0.000000000
1784040850.812518,8392.000000000,428.000000000,0.490873873,0.042663842,1784040850.812517881,-0.061042653,0.000000000
1784040850.822810,8398.000000000,443.000000000,0.490849912,0.042663842,1784040850.822809935,-0.058414364,-0.001183077
1784040850.832567,8409.000000000,451.000000000,0.490873873,0.042687811,1784040850.832566977,0.000000000,0.000000000
1784040850.842566,8389.000000000,440.000000000,0.490897834,0.042687811,1784040850.842566013,0.182658801,0.002425632
1784040850.852506,8397.000000000,439.000000000,0.490897834,0.042687811,1784040850.852505922,0.060267198,0.001201693
1784040850.862484,8392.000000000,440.000000000,0.490849912,0.042687811,1784040850.862483978,-0.242584058,-0.002406033
1784040850.872860,8381.000000000,440.000000000,0.490849912,0.042663842,1784040850.872859955,-0.174710018,-0.002354402
1784040850.882537,8424.000000000,459.000000000,0.490897834,0.042687811,1784040850.882536888,0.239153929,0.002389756
1784040850.892600,8413.000000000,467.000000000,0.490897834,0.042687811,1784040850.892600060,0.242259586,0.002427712
1784040850.902566,8397.000000000,432.000000000,0.490873873,0.042663842,1784040850.902565956,-0.179049003,-0.001196343
1784040850.912521,8409.000000000,477.000000000,0.490849912,0.042663842,1784040850.912520885,-0.242627593,-0.002405630
1784040850.922675,8417.000000000,471.000000000,0.490873873,0.042663842,1784040850.922674894,0.059493102,0.000000000
1784040850.932580,8417.000000000,442.000000000,0.490873873,0.042687811,1784040850.932579994,0.179482894,0.001194551
1784040850.942560,8392.000000000,475.000000000,0.490873873,0.042687811,1784040850.942559958,0.000000000,0.000000000
1784040850.952578,8381.000000000,424.000000000,0.490897834,0.042687811,1784040850.952578068,0.000179452,0.001198140
1784040850.962663,8374.000000000,449.000000000,0.490849912,0.042663842,1784040850.962662935,-0.059294755,-0.001191959
1784040850.972928,8389.000000000,451.000000000,0.490849912,0.042663842,1784040850.972928047,-0.174600071,-0.002354926
1784040850.982589,8370.000000000,442.000000000,0.490873873,0.042663842,1784040850.982589006,0.120160564,0.001202455
1784040850.992564,8374.000000000,431.000000000,0.490897834,0.042687811,1784040850.992563963,0.244205426,0.002440446
1784040851.002467,8400.000000000,481.000000000,0.490873873,0.042687811,1784040851.002466917,-0.060492755,0.000000000
1784040851.012509,8368.000000000,461.000000000,0.490873873,0.042687811,1784040851.012509108,-0.182596320,-0.001201377
1784040851.022726,8362.000000000,440.000000000,0.490897834,0.042663842,1784040851.022726059,0.058381370,0.001182743
1784040851.032571,8374.000000000,440.000000000,0.490897834,0.042663842,1784040851.032571077,0.119418605,0.001194367
1784040851.042583,8372.000000000,461.000000000,0.490897834,0.042663842,1784040851.042582989,-0.059561783,0.000000000
1784040851.052552,8365.000000000,447.000000000,0.490873873,0.042687811,1784040851.052551985,-0.119786172,-0.001199155
