__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,acc_g,vel_g
1784217334.797885,9578.000000000,388.000000000,0.905983448,0.192346811,,
1784217334.807841,9572.000000000,358.000000000,0.905887604,0.192322850,,-0.005996921
1784217334.817836,9588.000000000,392.000000000,0.905887604,0.192322850,-0.120943176,-0.004803900
1784217334.827780,9510.000000000,319.000000000,0.905887604,0.192250937,0.300760599,0.000000000
1784217334.837843,9570.000000000,379.000000000,0.905911565,0.192274913,0.299982207,0.001197669
1784217334.847776,9572.000000000,381.000000000,0.905983448,0.192274913,0.239702560,0.004793132
1784217334.857806,9547.000000000,352.000000000,0.905959487,0.192346811,0.060255173,0.002400545
1784217334.867798,9547.000000000,365.000000000,0.905959487,0.192322850,-0.299174443,-0.001196771
1784217334.877789,9508.000000000,328.000000000,0.905863643,0.192322850,-0.360131951,-0.004796163
1784217334.887829,9578.000000000,372.000000000,0.905887604,0.192274913,-0.119406650,-0.003588602
1784217334.897781,9541.000000000,340.000000000,0.906007409,0.192250937,0.599625282,0.007191327
1784217334.907807,9570.000000000,385.000000000,0.905983448,0.192346811,0.419772728,0.004797537
1784217334.917859,9563.000000000,368.000000000,0.905959487,0.192322850,-0.477047473,-0.002386805
1784217334.927804,9582.000000000,358.000000000,0.905887604,0.192322850,-0.479573934,-0.004792789
1784217334.937843,9516.000000000,353.000000000,0.905863643,0.192250937,-0.120562894,-0.004796106
1784217334.947800,9544.000000000,368.000000000,0.905887604,0.192250937,0.239688271,0.000000000
1784217334.957823,9572.000000000,361.000000000,0.906007409,0.192274913,0.600183480,0.007195532
1784217334.967826,9587.000000000,393.000000000,0.905983448,0.192346811,0.238989648,0.004785999
1784217334.977791,9539.000000000,358.000000000,0.905983448,0.192346811,-0.420441471,-0.001199957
1784217334.987919,9540.000000000,373.000000000,0.905863643,0.192250937,-0.534960760,-0.005962693
1784217334.997883,9594.000000000,388.000000000,0.905863643,0.192250937,-0.237046977,-0.005962764
1784217335.007894,9653.000000000,435.000000000,0.906031370,0.192250937,0.718838965,0.008396591
1784217335.017874,9582.000000000,377.000000000,0.906007409,0.192322850,0.658016138,0.007191585
