__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,__time,acc_g,vel_g
1784218769.635596,10710.000000000,380.000000000,1.173782945,0.303320736,1784218769.635596037,,
1784218769.645287,10733.000000000,402.000000000,1.173758984,0.303320736,1784218769.645287037,,-0.002393000
1784218769.655432,10677.000000000,368.000000000,1.173782945,0.303320736,1784218769.655431986,0.119169623,0.000000000
1784218769.665225,10715.000000000,415.000000000,1.173830867,0.303344697,1784218769.665225029,0.300849635,0.003605338
1784218769.675258,10633.000000000,342.000000000,1.173806906,0.303296775,1784218769.675257921,0.060963532,0.001208615
1784218769.685426,10692.000000000,393.000000000,1.173806906,0.303296775,1784218769.685425997,-0.237190253,-0.001186135
1784218769.695268,10703.000000000,383.000000000,1.173782945,0.303296775,1784218769.695267916,-0.120243432,-0.001197455
1784218769.705405,10737.000000000,420.000000000,1.173782945,0.303320736,1784218769.705404997,-0.000657421,-0.001199270
1784218769.715348,10689.000000000,385.000000000,1.173806906,0.303320736,1784218769.715348005,0.119059722,0.001193275
1784218769.725273,10685.000000000,391.000000000,1.173830867,0.303296775,1784218769.725272894,0.181776921,0.002412125
1784218769.735335,10675.000000000,393.000000000,1.173806906,0.303296775,1784218769.735335112,-0.059701523,0.000000000
1784218769.745258,10685.000000000,399.000000000,1.173806906,0.303296775,1784218769.745258093,-0.180681279,-0.001198912
1784218769.755473,10667.000000000,371.000000000,1.173758984,0.303320736,1784218769.755472898,-0.118168681,-0.002379684
1784218769.765336,10696.000000000,423.000000000,1.173782945,0.303320736,1784218769.765336037,0.000272302,-0.001193445
1784218769.775265,10653.000000000,363.000000000,1.173806906,0.303320736,1784218769.775264978,0.242574265,0.002421308
1784218769.785335,10745.000000000,457.000000000,1.173806906,0.303320736,1784218769.785335064,0.119583646,0.001198112
1784218769.795246,10614.000000000,318.000000000,1.173806906,0.303296775,1784218769.795245886,-0.121178166,0.000000000
1784218769.805422,10718.000000000,419.000000000,1.173782945,0.303320736,1784218769.805422068,-0.119026749,-0.001192836
1784218769.815296,10636.000000000,377.000000000,1.173782945,0.303320736,1784218769.815295935,-0.059608237,-0.001195105
1784218769.825289,10749.000000000,435.000000000,1.173782945,0.303320736,1784218769.825289011,0.060042679,0.000000000
1784218769.835259,10704.000000000,415.000000000,1.173830867,0.303320736,1784218769.835258961,0.180111893,0.002400516
1784218769.845222,10742.000000000,426.000000000,1.173806906,0.303296775,1784218769.845221996,0.060300360,0.001202024
1784218769.855277,10716.000000000,436.000000000,1.173806906,0.303296775,1784218769.855277061,-0.179708801,-0.001196956
1784218769.865276,10663.000000000,393.000000000,1.173758984,0.303320736,1784218769.865276098,-0.179109469,-0.002389728
1784218769.875315,10734.000000000,457.000000000,1.173782945,0.303320736,1784218769.875314951,0.000057572,-0.001195802
1784218769.885345,10711.000000000,442.000000000,1.173782945,0.303320736,1784218769.885344982,0.178568422,0.001193941
1784218769.895324,10671.000000000,369.000000000,1.173830867,0.303296775,1784218769.895323992,0.179463755,0.002395053
1784218769.905349,10614.000000000,324.000000000,1.173830867,0.303296775,1784218769.905349016,0.060069856,0.002395595
1784218769.915306,10624.000000000,341.000000000,1.173806906,0.303320736,1784218769.915306091,-0.179867086,-0.001199112
1784218769.925269,10655.000000000,385.000000000,1.173758984,0.303320736,1784218769.925268888,-0.301418226,-0.003608618
1784218769.935322,10632.000000000,344.000000000,1.173806906,0.303320736,1784218769.935322046,0.059908537,0.000000000
1784218769.945265,10708.000000000,440.000000000,1.173782945,0.303320736,1784218769.945265055,0.240387532,0.001198269
1784218769.955261,10632.000000000,352.000000000,1.173830867,0.303296775,1784218769.955260992,0.060268639,0.001201708
1784218769.965278,10692.000000000,422.000000000,1.173830867,0.303320736,1784218769.965277910,0.059778654,0.002394596
1784218769.975285,10673.000000000,389.000000000,1.173758984,0.303320736,1784218769.975285053,-0.239284576,-0.003589799
1784218769.985315,10754.000000000,473.000000000,1.173758984,0.303320736,1784218769.985315084,-0.298560851,-0.003587577
1784218769.995259,10692.000000000,395.000000000,1.173782945,0.303320736,1784218769.995259047,0.239785967,0.001199628
1784218770.005276,10694.000000000,395.000000000,1.173806906,0.303296775,1784218770.005275965,0.299985729,0.002400688
1784218770.015257,10675.000000000,393.000000000,1.173806906,0.303296775,1784218770.015256882,-0.000072947,0.001198169
1784218770.025287,10706.000000000,392.000000000,1.173806906,0.303320736,1784218770.025286913,-0.119971585,0.000000000
1784218770.035348,10610.000000000,340.000000000,1.173735023,0.303320736,1784218770.035347939,-0.237729538,-0.003577956
1784218770.045264,10675.000000000,391.000000000,1.173735023,0.303320736,1784218770.045264006,-0.180124673,-0.003598324
1784218770.055272,10696.000000000,414.000000000,1.173758984,0.303320736,1784218770.055272102,0.239931061,0.001202585
1784218770.065275,10660.000000000,383.000000000,1.173806906,0.303320736,1784218770.065274954,0.359329202,0.003592194
1784218770.075282,10687.000000000,416.000000000,1.173806906,0.303320736,1784218770.075282097,0.059586486,0.002394910
1784218770.085317,10742.000000000,462.000000000,1.173806906,0.303320736,1784218770.085316896,-0.179229543,0.000000000
1784218770.095274,10715.000000000,422.000000000,1.173735023,0.303320736,1784218770.095273972,-0.299659713,-0.003595707
1784218770.105338,10715.000000000,419.000000000,1.173735023,0.303320736,1784218770.105338097,-0.179327625,-0.003590354
1784218770.115304,10602.000000000,337.000000000,1.173758984,0.303320736,1784218770.115303993,0.239239097,0.001196258
1784218770.125250,10711.000000000,403.000000000,1.173854828,0.303320736,1784218770.125250101,0.482477462,0.006016739
1784218770.135290,10669.000000000,373.000000000,1.173806906,0.303320736,1784218770.135289907,0.060114934,0.002397738
1784218770.145278,10710.000000000,439.000000000,1.173735023,0.303320736,1784218770.145277977,-0.599119771,-0.005982072
1784218770.155203,10704.000000000,420.000000000,1.173735023,0.303320736,1784218770.155203104,-0.301687656,-0.003609827
1784218770.165295,10602.000000000,332.000000000,1.173735023,0.303320736,1784218770.165294886,0.298850924,0.000000000
1784218770.175270,10707.000000000,435.000000000,1.173806906,0.303320736,1784218770.175270081,0.358418490,0.003582292
1784218770.185288,10672.000000000,415.000000000,1.173806906,0.303320736,1784218770.185287952,0.179824086,0.003595321
1784218770.195317,10585.000000000,306.000000000,1.173806906,0.303320736,1784218770.195317030,-0.178688729,0.000000000
1784218770.205261,10644.000000000,384.000000000,1.173735023,0.303320736,1784218770.205260992,-0.360202176,-0.003599012
1784218770.215213,10700.000000000,418.000000000,1.173735023,0.303320736,1784218770.215213060,-0.181604148,-0.003613072
1784218770.225321,10761.000000000,454.000000000,1.173758984,0.303320736,1784218770.225321054,0.238956278,0.001194466
1784218770.235259,10707.000000000,402.000000000,1.173806906,0.303320736,1784218770.235259056,0.359110547,0.003585828
1784218770.245282,10626.000000000,358.000000000,1.173806906,0.303320736,1784218770.245281935,0.060439348,0.002400860
1784218770.255262,10653.000000000,375.000000000,1.173711061,0.303320736,1784218770.255261898,-0.418808515,-0.004791533
1784218770.265251,10648.000000000,363.000000000,1.173711061,0.303320736,1784218770.265250921,-0.360563434,-0.004799484
1784218770.275322,10718.000000000,446.000000000,1.173711061,0.303320736,1784218770.275321960,0.238856467,0.000000000
1784218770.285275,10738.000000000,454.000000000,1.173806906,0.303320736,1784218770.285274982,0.478729580,0.004786512
1784218770.295274,10715.000000000,420.000000000,1.173806906,0.303320736,1784218770.295274019,0.240769292,0.004803786
1784218770.305335,10711.000000000,427.000000000,1.173806906,0.303320736,1784218770.305335045,-0.238609030,0.000000000
1784218770.315291,10741.000000000,458.000000000,1.173711061,0.303344697,1784218770.315290928,-0.479200984,-0.004788222
1784218770.325337,10676.000000000,364.000000000,1.173711061,0.303344697,1784218770.325336933,-0.239571145,-0.004791818
1784218770.335343,10653.000000000,357.000000000,1.173782945,0.303320736,1784218770.335342884,0.417547452,0.003584719
1784218770.345282,10661.000000000,387.000000000,1.173806906,0.303320736,1784218770.345282078,0.481171717,0.004805336
1784218770.355151,10683.000000000,410.000000000,1.173782945,0.303320736,1784218770.355150938,-0.180979359,0.000000000
1784218770.365243,10712.000000000,399.000000000,1.173711061,0.303320736,1784218770.365242958,-0.481297085,-0.004801663
1784218770.375354,10704.000000000,403.000000000,1.173711061,0.303320736,1784218770.375354052,-0.176108595,-0.003557984
1784218770.385185,10727.000000000,412.000000000,1.173711061,0.303320736,1784218770.385185003,0.240783732,0.000000000
1784218770.395301,10708.000000000,395.000000000,1.173782945,0.303320736,1784218770.395301104,0.359041182,0.003603744
1784218770.405307,10681.000000000,381.000000000,1.173782945,0.303320736,1784218770.405307055,0.177538768,0.003572402
1784218770.415209,10683.000000000,358.000000000,1.173806906,0.303320736,1784218770.415209055,-0.120560980,0.001203564
1784218770.425286,10684.000000000,364.000000000,1.173711061,0.303344697,1784218770.425286055,-0.358893825,-0.003597938
1784218770.435264,10728.000000000,420.000000000,1.173687100,0.303320736,1784218770.435264111,-0.357891927,-0.005973893
1784218770.445273,10620.000000000,294.000000000,1.173782945,0.303320736,1784218770.445272923,0.359940004,0.003596393
1784218770.455198,10688.000000000,381.000000000,1.173782945,0.303296775,1784218770.455198050,0.540885975,0.004808095
1784218770.465259,10684.000000000,367.000000000,1.173782945,0.303296775,1784218770.465259075,-0.179946378,0.000000000
1784218770.475281,10668.000000000,373.000000000,1.173711061,0.303320736,1784218770.475281000,-0.417652460,-0.003579400
1784218770.485165,10688.000000000,368.000000000,1.173711061,0.303320736,1784218770.485165119,-0.181408441,-0.003611124
1784218770.495274,10672.000000000,373.000000000,1.173687100,0.303320736,1784218770.495274067,0.119086419,-0.001198440
1784218770.505279,10673.000000000,358.000000000,1.173782945,0.303320736,1784218770.505279064,0.357204722,0.003573757
1784218770.515152,10684.000000000,364.000000000,1.173782945,0.303320736,1784218770.515151978,0.302846580,0.004821589
1784218770.525263,10735.000000000,397.000000000,1.173782945,0.303320736,1784218770.525263071,-0.178837248,0.000000000
1784218770.535278,10691.000000000,333.000000000,1.173687100,0.303320736,1784218770.535278082,-0.476211676,-0.004762356
1784218770.545242,10758.000000000,395.000000000,1.173711061,0.303320736,1784218770.545242071,-0.180073091,-0.003597809
1784218770.555279,10636.000000000,306.000000000,1.173782945,0.303320736,1784218770.555279016,0.477669306,0.004791818
1784218770.565241,10599.000000000,289.000000000,1.173782945,0.303320736,1784218770.565241098,0.359631121,0.003594378
1784218770.575288,10672.000000000,319.000000000,1.173782945,0.303320736,1784218770.575288057,-0.239485505,0.000000000
1784218770.585198,10746.000000000,419.000000000,1.173711061,0.303320736,1784218770.585197926,-0.360581121,-0.003601849
1784218770.595239,10683.000000000,357.000000000,1.173687100,0.303344697,1784218770.595238924,-0.240792311,-0.004804015
1784218770.605236,10667.000000000,330.000000000,1.173687100,0.303320736,1784218770.605236053,0.120076305,-0.001195802
1784218770.615500,10661.000000000,360.000000000,1.173782945,0.303320736,1784218770.615499973,0.470573684,0.004730413
1784218770.625450,10700.000000000,342.000000000,1.173782945,0.303296775,1784218770.625449896,0.293731623,0.004741573
1784218770.635437,10684.000000000,381.000000000,1.173735023,0.303296775,1784218770.635437012,-0.357830838,-0.002403674
1784218770.645356,10626.000000000,309.000000000,1.173711061,0.303296775,1784218770.645355940,-0.419606071,-0.003611124
1784218770.655385,10618.000000000,310.000000000,1.173687100,0.303320736,1784218770.655385017,0.000067687,-0.002402323
1784218770.665449,10696.000000000,354.000000000,1.173782945,0.303320736,1784218770.665448904,0.357763423,0.003577489
1784218770.675300,10685.000000000,400.000000000,1.173782945,0.303320736,1784218770.675299883,0.362315037,0.004812873
1784218770.685375,10745.000000000,424.000000000,1.173782945,0.303296775,1784218770.685374975,-0.179540226,0.000000000
1784218770.695313,10739.000000000,415.000000000,1.173711061,0.303296775,1784218770.695312977,-0.419966254,-0.003591851
1784218770.705330,10712.000000000,385.000000000,1.173687100,0.303320736,1784218770.705329895,-0.240677251,-0.004802867
1784218770.715445,10694.000000000,367.000000000,1.173711061,0.303344697,1784218770.715445042,0.178412340,0.000000000
1784218770.725343,10716.000000000,376.000000000,1.173782945,0.303320736,1784218770.725342989,0.479292046,0.004789135
1784218770.735451,10716.000000000,379.000000000,1.173782945,0.303296775,1784218770.735450983,0.179596999,0.003593050
1784218770.745387,10694.000000000,371.000000000,1.173735023,0.303296775,1784218770.745387077,-0.358225968,-0.002390922
1784218770.755436,10575.000000000,278.000000000,1.173711061,0.303296775,1784218770.755435944,-0.359772708,-0.003596908
1784218770.765362,10664.000000000,328.000000000,1.173687100,0.303320736,1784218770.765362024,-0.000407154,-0.002399055
1784218770.775263,10644.000000000,326.000000000,1.173782945,0.303344697,1784218770.775263071,0.364262288,0.003625454
1784218770.785251,10616.000000000,325.000000000,1.173782945,0.303320736,1784218770.785250902,0.362904052,0.004818873
1784218770.795243,10683.000000000,356.000000000,1.173782945,0.303296775,1784218770.795243025,-0.181456736,0.000000000
1784218770.805310,10707.000000000,379.000000000,1.173711061,0.303296775,1784218770.805310011,-0.418891206,-0.003583612
1784218770.815252,10718.000000000,387.000000000,1.173711061,0.303320736,1784218770.815252066,-0.179545643,-0.003592536
1784218770.825228,10677.000000000,349.000000000,1.173687100,0.303320736,1784218770.825227976,0.119522152,-0.001203002
1784218770.835305,10719.000000000,377.000000000,1.173758984,0.303320736,1784218770.835304976,0.298316885,0.002389728
1784218770.845248,10640.000000000,332.000000000,1.173758984,0.303296775,1784218770.845247984,0.239428999,0.003590483
1784218770.855289,10718.000000000,363.000000000,1.173735023,0.303296775,1784218770.855288982,-0.179583456,-0.001199026
1784218770.865312,10629.000000000,294.000000000,1.173711061,0.303296775,1784218770.865312099,-0.298001239,-0.002388507
1784218770.875253,10720.000000000,415.000000000,1.173711061,0.303320736,1784218770.875252962,-0.000058095,-0.001200186
1784218770.885317,10675.000000000,346.000000000,1.173758984,0.303320736,1784218770.885317087,0.239141160,0.002395509
1784218770.895267,10691.000000000,372.000000000,1.173782945,0.303320736,1784218770.895267010,0.239442979,0.003591809
1784218770.905288,10650.000000000,328.000000000,1.173782945,0.303296775,1784218770.905287981,-0.059872624,0.001199814
1784218770.915390,10660.000000000,353.000000000,1.173758984,0.303296775,1784218770.915390015,-0.237651164,-0.001190674
1784218770.925329,10711.000000000,384.000000000,1.173711061,0.303320736,1784218770.925328970,-0.238841650,-0.003586809
1784218770.935369,10739.000000000,430.000000000,1.173735023,0.303296775,1784218770.935369015,-0.000434568,-0.001199356
1784218770.945325,10642.000000000,322.000000000,1.173758984,0.303320736,1784218770.945324898,0.299216126,0.002396509
1784218770.955305,10703.000000000,389.000000000,1.173782945,0.303320736,1784218770.955305099,0.180738400,0.002403817
1784218770.965205,10704.000000000,395.000000000,1.173758984,0.303296775,1784218770.965204954,-0.120548399,0.000000000
1784218770.975246,10609.000000000,303.000000000,1.173735023,0.303296775,1784218770.975245953,-0.241047182,-0.002403099
1784218770.985297,10609.000000000,289.000000000,1.173711061,0.303296775,1784218770.985296965,-0.118713379,-0.002385162
1784218770.995178,10673.000000000,369.000000000,1.173735023,0.303320736,1784218770.995177984,0.120569002,0.000000000
1784218771.005203,10689.000000000,376.000000000,1.173758984,0.303320736,1784218771.005203009,0.240772961,0.002407503
1784218771.015285,10676.000000000,365.000000000,1.173782945,0.303320736,1784218771.015285015,0.118536081,0.002383380
1784218771.025240,10673.000000000,385.000000000,1.173758984,0.303296775,1784218771.025239944,-0.120147523,0.000000000
1784218771.035137,10659.000000000,356.000000000,1.173758984,0.303320736,1784218771.035136938,-0.180854645,-0.001206975
1784218771.045194,10657.000000000,336.000000000,1.173735023,0.303320736,1784218771.045193911,-0.060180816,-0.001200832
1784218771.055245,10652.000000000,319.000000000,1.173735023,0.303320736,1784218771.055244923,0.000765049,-0.001191591
1784218771.065225,10719.000000000,396.000000000,1.173758984,0.303296775,1784218771.065224886,0.119668417,0.001196215
1784218771.075196,10621.000000000,317.000000000,1.173758984,0.303296775,1784218771.075196028,0.119926522,0.001201018
1784218771.085160,10585.000000000,289.000000000,1.173758984,0.303296775,1784218771.085160017,-0.060003937,0.000000000
1784218771.095279,10692.000000000,392.000000000,1.173758984,0.303320736,1784218771.095278978,-0.059801455,0.000000000
1784218771.105295,10621.000000000,310.000000000,1.173735023,0.303320736,1784218771.105294943,-0.059106731,-0.001190067
1784218771.115372,10696.000000000,403.000000000,1.173735023,0.303320736,1784218771.115371943,-0.059349647,-0.001192510
1784218771.125330,10704.000000000,402.000000000,1.173758984,0.303296775,1784218771.125329971,0.119092724,0.001195959
1784218771.135336,10671.000000000,357.000000000,1.173758984,0.303296775,1784218771.135335922,0.119852120,0.001200215
1784218771.145319,10675.000000000,406.000000000,1.173758984,0.303296775,1784218771.145318985,-0.059830803,0.000000000
1784218771.155353,10661.000000000,358.000000000,1.173758984,0.303320736,1784218771.155353069,-0.059960056,0.000000000
1784218771.165280,10668.000000000,371.000000000,1.173711061,0.303320736,1784218771.165280104,-0.120275390,-0.002400803
1784218771.175239,10716.000000000,387.000000000,1.173735023,0.303320736,1784218771.175239086,-0.060591339,-0.001204920
1784218771.185497,10676.000000000,375.000000000,1.173735023,0.303296775,1784218771.185497046,0.177375990,0.001185197
1784218771.195300,10687.000000000,392.000000000,1.173782945,0.303296775,1784218771.195300102,0.179147531,0.002388876
1784218771.205260,10675.000000000,387.000000000,1.173758984,0.303296775,1784218771.205260038,0.001376746,0.001212406
1784218771.215343,10630.000000000,338.000000000,1.173758984,0.303320736,1784218771.215342999,-0.178831843,-0.001195475
1784218771.225220,10594.000000000,287.000000000,1.173711061,0.303320736,1784218771.225219965,-0.181028908,-0.002400917
1784218771.235418,10668.000000000,363.000000000,1.173735023,0.303296775,1784218771.235418081,0.000094770,-0.001193573
1784218771.245341,10706.000000000,403.000000000,1.173782945,0.303296775,1784218771.245341063,0.296874770,0.003572529
1784218771.255315,10683.000000000,391.000000000,1.173782945,0.303296775,1784218771.255315065,0.181036733,0.002408512
1784218771.265205,10724.000000000,399.000000000,1.173782945,0.303296775,1784218771.265204906,-0.179850832,0.000000000
1784218771.275375,10597.000000000,330.000000000,1.173711061,0.303320736,1784218771.275374889,-0.298698531,-0.003583399
1784218771.285282,10687.000000000,385.000000000,1.173711061,0.303320736,1784218771.285281897,-0.178319672,-0.003580250
1784218771.295236,10646.000000000,358.000000000,1.173758984,0.303296775,1784218771.295236111,0.301912399,0.002412878
1784218771.305337,10708.000000000,416.000000000,1.173782945,0.303296775,1784218771.305336952,0.357243744,0.003584293
1784218771.315284,10652.000000000,371.000000000,1.173782945,0.303296775,1784218771.315284014,-0.060738874,0.001195162
1784218771.325656,10689.000000000,385.000000000,1.173758984,0.303320736,1784218771.325655937,-0.234441254,-0.001179259
1784218771.335285,10641.000000000,380.000000000,1.173711061,0.303320736,1784218771.335284948,-0.239441535,-0.003593949
1784218771.345313,10730.000000000,451.000000000,1.173735023,0.303296775,1784218771.345313072,-0.002020719,-0.001218980
1784218771.355417,10700.000000000,408.000000000,1.173782945,0.303296775,1784218771.355417013,0.355895604,0.003570710
1784218771.365457,10617.000000000,354.000000000,1.173782945,0.303296775,1784218771.365457058,0.178612093,0.002378980
1784218771.375388,10625.000000000,348.000000000,1.173782945,0.303296775,1784218771.375387907,-0.178789275,0.000000000
1784218771.385370,10637.000000000,360.000000000,1.173711061,0.303320736,1784218771.385370016,-0.300745643,-0.003609827
1784218771.395273,10625.000000000,356.000000000,1.173711061,0.303320736,1784218771.395272970,-0.181800172,-0.003615021
1784218771.405389,10629.000000000,332.000000000,1.173735023,0.303296775,1784218771.405389071,0.240111835,0.001196927
1784218771.415212,10677.000000000,395.000000000,1.173806906,0.303296775,1784218771.415211916,0.422384854,0.004806887
1784218771.425402,10595.000000000,336.000000000,1.173782945,0.303296775,1784218771.425401926,0.059837132,0.002394482
1784218771.435340,10657.000000000,369.000000000,1.173782945,0.303296775,1784218771.435339928,-0.297958957,-0.001190434
1784218771.445438,10679.000000000,399.000000000,1.173711061,0.303320736,1784218771.445437908,-0.298589258,-0.003587833
1784218771.455392,10661.000000000,375.000000000,1.173711061,0.303296775,1784218771.455391884,-0.119410467,-0.003584847
1784218771.465283,10625.000000000,357.000000000,1.173782945,0.303296775,1784218771.465282917,0.363305658,0.003622144
1784218771.475366,10691.000000000,392.000000000,1.173782945,0.303296775,1784218771.475366116,0.359652024,0.003598840
1784218771.485432,10685.000000000,400.000000000,1.173782945,0.303296775,1784218771.485431910,-0.179767982,0.000000000
1784218771.495319,10668.000000000,407.000000000,1.173687100,0.303296775,1784218771.495318890,-0.421106259,-0.004803499
1784218771.505294,10583.000000000,315.000000000,1.173711061,0.303296775,1784218771.505294085,-0.182210670,-0.003619100
1784218771.515303,10564.000000000,302.000000000,1.173735023,0.303296775,1784218771.515302896,0.360364317,0.002398024
1784218771.525444,10648.000000000,340.000000000,1.173782945,0.303296775,1784218771.525444031,0.356670730,0.003567541
1784218771.535372,10652.000000000,380.000000000,1.173806906,0.303296775,1784218771.535372019,0.058983980,0.003581781
