__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,acc_g,vel_g
1784869166.170684,6418.000000000,385.000000000,1.005140901,0.260105610,,
1784869166.180663,6491.000000000,439.000000000,1.005188823,0.260081649,,0.002407272
1784869166.190672,6477.000000000,399.000000000,1.005188823,0.260081649,0.119942789,0.002397481
1784869166.200660,6427.000000000,377.000000000,1.005164862,0.260105610,-0.180312323,-0.001198283
1784869166.210799,6484.000000000,422.000000000,1.005140901,0.260105610,-0.237414799,-0.002380981
1784869166.220767,6445.000000000,412.000000000,1.005140901,0.260081649,0.000329291,-0.001191662
1784869166.230759,6454.000000000,415.000000000,1.005140901,0.260081649,0.119286618,0.000000000
1784869166.240796,6421.000000000,352.000000000,1.005140901,0.260081649,0.059495916,0.000000000
1784869166.250682,6441.000000000,371.000000000,1.005164862,0.260081649,0.060371102,0.001202729
1784869166.260733,6440.000000000,377.000000000,1.005164862,0.260105610,0.060283055,0.001201851
1784869166.270723,6472.000000000,408.000000000,1.005140901,0.260105610,-0.119667054,-0.001195575
1784869166.280689,6460.000000000,419.000000000,1.005164862,0.260105610,-0.060223998,0.000000000
1784869166.290823,6462.000000000,406.000000000,1.005140901,0.260081649,0.059482389,0.000000000
1784869166.300694,6468.000000000,397.000000000,1.005188823,0.260081649,0.059877083,0.001197797
1784869166.310653,6477.000000000,408.000000000,1.005188823,0.260105610,0.121865503,0.002416621
1784869166.320709,6440.000000000,396.000000000,1.005164862,0.260105610,-0.119649343,-0.001197098
1784869166.330650,6429.000000000,383.000000000,1.005140901,0.260105610,-0.240683982,-0.002396423
1784869166.340683,6468.000000000,415.000000000,1.005140901,0.260105610,-0.000128063,-0.001199656
1784869166.350718,6429.000000000,358.000000000,1.005140901,0.260105610,0.119416985,0.000000000
1784869166.360700,6462.000000000,396.000000000,1.005212903,0.260081649,0.239624200,0.003596994
1784869166.370743,6440.000000000,380.000000000,1.005164862,0.260105610,0.059751680,0.001196543
1784869166.380714,6440.000000000,369.000000000,1.005140901,0.260105610,-0.359470458,-0.003597551
1784869166.390663,6445.000000000,372.000000000,1.005164862,0.260105610,-0.060068500,0.000000000
1784869166.400736,6460.000000000,389.000000000,1.005236864,0.260081649,0.419064439,0.004792922
1784869166.410670,6430.000000000,363.000000000,1.005212903,0.260081649,0.120020590,0.002401239
1784869166.420647,6453.000000000,356.000000000,1.005188823,0.260081649,-0.361912868,-0.002412885
1784869166.430704,6477.000000000,428.000000000,1.005164862,0.260081649,-0.239552914,-0.002397982
1784869166.440670,6427.000000000,353.000000000,1.005164862,0.260105610,0.060740507,-0.001196657
1784869166.450704,6457.000000000,381.000000000,1.005140901,0.260105610,0.059996412,-0.001198026
1784869166.460674,6462.000000000,391.000000000,1.005212903,0.260081649,0.179875683,0.002401583
1784869166.470562,6454.000000000,399.000000000,1.005212903,0.260081649,0.242926839,0.003625929
1784869166.480684,6449.000000000,358.000000000,1.005140901,0.260105610,-0.299839702,-0.003598279
1784869166.490729,6448.000000000,395.000000000,1.005164862,0.260105610,-0.297910402,-0.002382135
1784869166.500641,6480.000000000,407.000000000,1.005140901,0.260105610,0.180307493,0.000000000
1784869166.510681,6481.000000000,385.000000000,1.005140901,0.260105610,0.059202037,-0.001200932
1784869166.520672,6469.000000000,387.000000000,1.005212903,0.260081649,0.179449745,0.003594553
1784869166.530694,6446.000000000,389.000000000,1.005212903,0.260081649,0.239797870,0.003597937
1784869166.540680,6442.000000000,376.000000000,1.005188823,0.260081649,-0.239803487,-0.001203513
1784869166.550693,6453.000000000,399.000000000,1.005140901,0.260105610,-0.359916242,-0.003600210
1784869166.560767,6419.000000000,364.000000000,1.005164862,0.260105610,0.000529428,-0.001192878
1784869166.570725,6437.000000000,364.000000000,1.005164862,0.260105610,0.239431872,0.001196130
1784869166.580746,6462.000000000,395.000000000,1.005212903,0.260081649,0.180058997,0.002404563
1784869166.590743,6437.000000000,392.000000000,1.005188823,0.260081649,0.000041988,0.001196970
1784869166.600724,6472.000000000,379.000000000,1.005164862,0.260057688,-0.240732055,-0.002404735
