__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,acc_g,vel_g
1784133786.010221,8362.000000000,403.000000000,0.371367186,0.015315840,,
1784133786.020146,8384.000000000,400.000000000,0.371391147,0.015291872,,0.001213123
1784133786.030260,8353.000000000,387.000000000,0.371415108,0.015315840,0.119347006,0.002391519
1784133786.040092,8385.000000000,415.000000000,0.371415108,0.015315840,-0.000592512,0.001201305
1784133786.050194,8370.000000000,373.000000000,0.371463060,0.015363777,0.000700592,0.002405485
1784133786.060076,8373.000000000,397.000000000,0.371391147,0.015315840,-0.120105475,-0.001198969
1784133786.070137,8386.000000000,388.000000000,0.371391147,0.015315840,-0.301441233,-0.003606014
1784133786.080123,8361.000000000,395.000000000,0.371391147,0.015315840,0.059808065,0.000000000
1784133786.090126,8355.000000000,361.000000000,0.371391147,0.015315840,0.180395469,0.000000000
1784133786.100190,8364.000000000,392.000000000,0.371415108,0.015339809,0.059504881,0.001194069
1784133786.110112,8316.000000000,361.000000000,0.371463060,0.015387746,0.180036015,0.003598184
1784133786.120230,8376.000000000,379.000000000,0.371463060,0.015363777,0.059821432,0.002392864
1784133786.130113,8296.000000000,307.000000000,0.371367186,0.015315840,-0.419555731,-0.004793422
1784133786.140210,8415.000000000,435.000000000,0.371391147,0.015315840,-0.299906686,-0.003599258
1784133786.150277,8365.000000000,391.000000000,0.371391147,0.015315840,0.296657996,0.001188323
1784133786.160211,8394.000000000,414.000000000,0.371439070,0.015387746,0.299748619,0.002395995
1784133786.170485,8394.000000000,400.000000000,0.371439070,0.015363777,0.058550272,0.002371486
1784133786.180244,8429.000000000,436.000000000,0.371463060,0.015339809,-0.059822654,0.001197517
1784133786.190395,8372.000000000,393.000000000,0.371367186,0.015291872,-0.300438513,-0.003610346
1784133786.200165,8370.000000000,385.000000000,0.371367186,0.015291872,-0.301721043,-0.004812871
1784133786.210224,8366.000000000,379.000000000,0.371391147,0.015387746,0.243010140,0.001208368
1784133786.220553,8327.000000000,360.000000000,0.371439070,0.015387746,0.408986614,0.003525697
1784133786.230324,8321.000000000,344.000000000,0.371439070,0.015339809,0.058501551,0.002384229
1784133786.240230,8366.000000000,383.000000000,0.371463060,0.015315840,-0.117216413,0.001219239
