__time,/debug_geometry/a,/debug_geometry/b,/debug_geometry/c,/debug_geometry/d,/debug_geometry/e,/debug_geometry/f,/debug_geometry/fc,/debug_geometry/lw,/debug_geometry/median_pb,/debug_geometry/median_pr,/debug_geometry/offset_pb,/debug_geometry/offset_pr,/debug_geometry/pb,/debug_geometry/pr,/debug_geometry/raw_pb,/debug_geometry/raw_pr,/debug_geometry/theta_g,/debug_geometry/theta_t,/debug_geometry/w,omega_g
1782904237.343661,0.000000000,0.154297736,0.643935435,0.925942509,-0.068425761,0.592393199,-427.259132664,3.145360140,4115.500000000,392.500000000,4308.135349512,380.000000000,0.000000000,15259.254737999,4135.000000000,391.000000000,-0.642720202,1.240198271,-8.202798288,
1782904237.353662,0.000000000,0.154312335,0.644020158,0.925943122,-0.068425649,0.592393199,-427.259132664,3.145360140,4115.000000000,392.500000000,4308.135349512,380.000000000,0.000000000,15259.254737999,4081.000000000,376.000000000,-0.642720202,1.240222113,-8.202798288,0.000000000
1782904237.363626,0.000000000,0.154312335,0.644020158,0.925943122,-0.068425649,0.592393199,-427.259132664,3.145360140,4115.000000000,392.500000000,4308.135349512,380.000000000,0.000000000,15259.254737999,4049.000000000,338.000000000,-0.642720202,1.240222113,-8.202798288,0.000000000
1782904237.373584,0.000000000,0.154312335,0.644020158,0.925943122,-0.068425649,0.592393199,-427.259132664,3.145360140,4115.000000000,392.500000000,4308.135349512,380.000000000,0.000000000,15259.254737999,4131.000000000,424.000000000,-0.642720202,1.240222113,-8.202798288,0.000000000
1782904237.383742,0.000000000,0.154312121,0.644018919,0.925943122,-0.068435262,0.592386487,-410.168767357,3.145303688,4115.000000000,392.000000000,4308.135349512,380.000000000,0.000000000,14648.884548479,4116.000000000,389.000000000,-0.642744170,1.240222113,-7.874738473,-0.002359722
1782904237.394075,0.000000000,0.154312121,0.644018919,0.925943122,-0.068435262,0.592386487,-410.168767357,3.145303688,4115.000000000,392.000000000,4308.089003339,380.000000000,0.000000000,14648.884548479,4119.000000000,400.000000000,-0.642744170,1.240222113,-7.874738473,0.000000000
1782904237.403679,0.000000000,0.154312548,0.644021398,0.925943122,-0.068416037,0.592399910,-393.078402051,3.145416589,4115.000000000,391.500000000,4308.089003339,380.000000000,0.000000000,14038.514358959,4120.000000000,375.000000000,-0.642696233,1.240222113,-7.546524481,0.004991745
1782904237.413683,0.000000000,0.154297736,0.643935435,0.925942509,-0.068425761,0.592393199,-393.078402051,3.145360140,4115.000000000,391.500000000,4308.181695071,380.000000000,0.000000000,14038.514358959,4077.000000000,363.000000000,-0.642720202,1.240198271,-7.546574425,-0.002395712
1782904237.423601,0.000000000,0.154312335,0.644020158,0.925943122,-0.068425649,0.592393199,-410.168767357,3.145360140,4115.000000000,392.000000000,4308.135349512,380.000000000,0.000000000,14648.884548479,4141.000000000,415.000000000,-0.642720202,1.240222113,-7.874686356,0.000000000
1782904237.433703,0.000000000,0.154297736,0.643935435,0.925942509,-0.068425761,0.592393199,-427.259132664,3.145360140,4115.000000000,392.500000000,4308.135349512,380.000000000,0.000000000,15259.254737999,4112.000000000,395.000000000,-0.642720202,1.240198271,-8.202798288,0.000000000
1782904237.443644,0.000000000,0.154297736,0.643935435,0.925942509,-0.068425761,0.592393199,-478.530228584,3.145360140,4115.000000000,394.000000000,4308.135349512,380.000000000,0.000000000,17090.365306558,4108.000000000,396.000000000,-0.642720202,1.240198271,-9.187134082,0.000000000
