__time,/debug_geometry/a,/debug_geometry/b,/debug_geometry/c,/debug_geometry/d,/debug_geometry/e,/debug_geometry/f,/debug_geometry/fc,/debug_geometry/lw,/debug_geometry/median_pb,/debug_geometry/median_pr,/debug_geometry/offset_pb,/debug_geometry/offset_pr,/debug_geometry/pb,/debug_geometry/pr,/debug_geometry/raw_pb,/debug_geometry/raw_pr,/debug_geometry/theta_g,/debug_geometry/theta_t,/debug_geometry/w,omega_g
1782915385.174745,0.000000000,0.335931818,1.118517519,0.898053230,-0.088870358,0.580979549,-683.614612262,3.051681778,3633.000000000,400.000000000,4232.250154003,380.000000000,0.000000000,24414.807580798,3655.000000000,383.000000000,-0.681501155,1.515571879,-13.266731222,
1782915385.184712,0.000000000,0.335931818,1.118517519,0.898053230,-0.088870358,0.580979549,-666.524246956,3.051681778,3633.000000000,399.500000000,4232.344831962,380.000000000,0.000000000,23804.437391278,3635.000000000,392.000000000,-0.681501155,1.515571879,-12.935062941,0.000000000
1782915385.194699,0.000000000,0.335932090,1.118517689,0.898053230,-0.088860889,0.580986950,-649.433881649,3.051741108,3631.500000000,399.000000000,4232.344831962,380.000000000,0.000000000,23194.067201758,3613.000000000,392.000000000,-0.681477186,1.515571879,-12.603310186,0.002400001
1782915385.204674,0.000000000,0.335931546,1.118517349,0.898053230,-0.088879827,0.580972148,-649.433881649,3.051622447,3631.500000000,399.000000000,4232.392170251,380.000000000,0.000000000,23194.067201758,3639.000000000,418.000000000,-0.681525123,1.515571879,-12.603479136,-0.004805739
1782915385.214716,0.000000000,0.335931546,1.118517349,0.898053230,-0.088879827,0.580972148,-649.433881649,3.051622447,3631.500000000,399.000000000,4232.297493059,380.000000000,0.000000000,23194.067201758,3611.000000000,377.000000000,-0.681525123,1.515571879,-12.603479136,0.000000000
1782915385.224671,0.000000000,0.335931274,1.118517179,0.898053230,-0.088889296,0.580964746,-649.433881649,3.051563114,3631.500000000,399.000000000,4232.297493059,380.000000000,0.000000000,23194.067201758,3616.000000000,381.000000000,-0.681549091,1.515571879,-12.603563612,-0.002407738
1782915385.234650,0.000000000,0.335945227,1.118525899,0.898047790,-0.088880792,0.580972148,-666.524246956,3.051622447,3633.000000000,399.500000000,4232.250154003,380.000000000,0.000000000,23804.437391278,3636.000000000,403.000000000,-0.681525123,1.515595840,-12.935149640,0.002401927
1782915385.244635,0.000000000,0.335945499,1.118526069,0.898047790,-0.088871323,0.580979549,-666.524246956,3.051681778,3633.000000000,399.500000000,4232.344831962,380.000000000,0.000000000,23804.437391278,3630.000000000,423.000000000,-0.681501155,1.515595840,-12.935062941,0.002400345
1782915385.254736,0.000000000,0.335945499,1.118526069,0.898047790,-0.088871323,0.580979549,-649.433881649,3.051681778,3633.000000000,399.000000000,4232.344831962,380.000000000,0.000000000,23194.067201758,3622.000000000,384.000000000,-0.681501155,1.515595840,-12.603394661,0.000000000
1782915385.264702,0.000000000,0.335931546,1.118517349,0.898053230,-0.088879827,0.580972148,-649.433881649,3.051622447,3634.000000000,399.000000000,4232.344831962,380.000000000,0.000000000,23194.067201758,3654.000000000,388.000000000,-0.681525123,1.515571879,-12.603479136,-0.002405169
