__time,/debug_geometry/a,/debug_geometry/b,/debug_geometry/c,/debug_geometry/d,/debug_geometry/e,/debug_geometry/f,/debug_geometry/fc,/debug_geometry/lw,/debug_geometry/median_pb,/debug_geometry/median_pr,/debug_geometry/offset_pb,/debug_geometry/offset_pr,/debug_geometry/pb,/debug_geometry/pr,/debug_geometry/raw_pb,/debug_geometry/raw_pr,/debug_geometry/theta_g,/debug_geometry/theta_t,/debug_geometry/w,omega_g
1782915762.870455,0.000000000,0.153374802,0.638548970,0.925919322,-0.083778236,0.581075730,16447.237618489,3.052452929,4571.000000000,382.000000000,4232.770853097,380.000000000,412889.976992874,2441.480758080,4571.000000000,384.000000000,-0.681189565,1.239311354,319.159459116,
1782915762.880346,0.000000000,0.153374802,0.638548970,0.925919322,-0.083778236,0.581075730,16437.992835029,3.052452929,4571.000000000,382.000000000,4232.960180484,380.000000000,412658.857406375,2441.480758080,4569.000000000,381.000000000,-0.681189565,1.239311354,318.980063636,0.000000000
1782915762.890544,0.000000000,0.153389596,0.638635783,0.925919967,-0.083778120,0.581075730,16472.173565642,3.052452929,4571.000000000,381.000000000,4232.960180484,380.000000000,412658.857406375,1220.740379040,4521.000000000,376.000000000,-0.681189565,1.239335672,319.643342403,0.000000000
1782915762.900374,0.000000000,0.153360038,0.638462316,0.925918689,-0.083787859,0.581068334,16472.173565642,3.052393620,4571.000000000,381.000000000,4232.960180484,380.000000000,412658.857406375,1220.740379040,4548.000000000,377.000000000,-0.681213533,1.239287512,319.645484670,-0.002438303
1782915762.910462,0.000000000,0.153374017,0.638544363,0.925919322,-0.083806764,0.581053541,16491.575081874,3.052274997,4571.000000000,380.500000000,4232.912849558,380.000000000,412716.636179512,610.370189520,4544.000000000,377.000000000,-0.681261470,1.239311354,320.026264238,-0.004752015
1782915762.920294,0.000000000,0.153359253,0.638457709,0.925918689,-0.083816386,0.581046144,16513.287838910,3.052215683,4571.000000000,379.500000000,4232.818185864,380.000000000,412832.195972762,0.000000000,4576.000000000,358.000000000,-0.681285439,1.239287512,320.449757532,-0.002437890
1782915762.930325,0.000000000,0.153360038,0.638462316,0.925918689,-0.083787859,0.581068334,16498.508714408,3.052393620,4571.000000000,380.500000000,4232.770853097,380.000000000,412889.976992874,610.370189520,4612.000000000,391.000000000,-0.681213533,1.239287512,320.156522958,0.007168174
1782915762.940334,0.000000000,0.153360300,0.638463852,0.925918689,-0.083778349,0.581075730,16442.745466712,3.052452929,4570.000000000,380.500000000,4232.912849558,380.000000000,411495.895800473,610.370189520,4567.000000000,381.000000000,-0.681189565,1.239287512,319.072288688,0.002394627
1782915762.950412,0.000000000,0.153374802,0.638548970,0.925919322,-0.083778236,0.581075730,16440.434315787,3.052452929,4570.000000000,380.500000000,4232.960180484,380.000000000,411438.117027335,610.370189520,4579.000000000,406.000000000,-0.681189565,1.239311354,319.027440690,0.000000000
1782915762.960607,0.000000000,0.153360038,0.638462316,0.925918689,-0.083787859,0.581068334,16423.343950480,3.052393620,4570.000000000,381.000000000,4232.960180484,380.000000000,411438.117027335,1220.740379040,4579.000000000,397.000000000,-0.681213533,1.239287512,318.697937223,-0.002351058
1782915762.970298,0.000000000,0.153359515,0.638459245,0.925918689,-0.083806877,0.581053541,16474.484716567,3.052274997,4571.000000000,381.000000000,4232.912849558,380.000000000,412716.636179512,1220.740379040,4580.000000000,423.000000000,-0.681261470,1.239287512,319.694618186,-0.004946430
1782915762.980271,0.000000000,0.153360038,0.638462316,0.925918689,-0.083787859,0.581068334,16479.107108297,3.052393620,4571.000000000,381.000000000,4232.818185864,380.000000000,412832.195972762,1220.740379040,4592.000000000,393.000000000,-0.681213533,1.239287512,319.780031309,0.004806888
1782915762.990519,0.000000000,0.153374540,0.638547434,0.925919322,-0.083787745,0.581068334,16474.484716567,3.052393620,4571.000000000,381.000000000,4232.912849558,380.000000000,412716.636179512,1220.740379040,4610.000000000,410.000000000,-0.681213533,1.239311354,319.690332968,0.000000000
1782915763.000530,0.000000000,0.153360300,0.638463852,0.925918689,-0.083778349,0.581075730,16459.835832019,3.052452929,4570.000000000,380.000000000,4232.912849558,380.000000000,411495.895800473,0.000000000,4567.000000000,371.000000000,-0.681189565,1.239287512,319.403928072,0.002394228
1782915763.010293,0.000000000,0.153389596,0.638635783,0.925919967,-0.083778120,0.581075730,16457.524681093,3.052452929,4570.000000000,380.000000000,4232.960180484,380.000000000,411438.117027335,0.000000000,4532.000000000,344.000000000,-0.681189565,1.239335672,319.359080074,0.000000000
1782915763.020319,0.000000000,0.153374279,0.638545899,0.925919322,-0.083797254,0.581060938,16472.173565642,3.052334309,4571.000000000,381.000000000,4232.960180484,380.000000000,412658.857406375,1220.740379040,4581.000000000,391.000000000,-0.681237502,1.239311354,319.647626964,-0.004781283
1782915763.030639,0.000000000,0.153374017,0.638544363,0.925919322,-0.083806764,0.581053541,16427.966282291,3.052274997,4570.000000000,381.000000000,4232.865518018,380.000000000,411553.675322601,1220.740379040,4540.000000000,363.000000000,-0.681261470,1.239311354,318.791907520,-0.002322542
1782915763.040287,0.000000000,0.153374017,0.638544363,0.925919322,-0.083806764,0.581053541,16396.096762523,3.052274997,4570.000000000,382.000000000,4232.818185864,380.000000000,411611.455593722,2441.480758080,4592.000000000,395.000000000,-0.681261470,1.239311354,318.173465479,0.000000000
1782915763.050318,0.000000000,0.153374802,0.638548970,0.925919322,-0.083778236,0.581075730,16430.277493136,3.052452929,4570.000000000,381.000000000,4232.818185864,380.000000000,411611.455593722,1220.740379040,4572.000000000,380.000000000,-0.681189565,1.239311354,318.830347045,0.007168685
1782915763.060344,0.000000000,0.153389596,0.638635783,0.925919967,-0.083778120,0.581075730,16462.407642610,3.052452929,4571.500000000,382.000000000,4232.960180484,380.000000000,413269.227595894,2441.480758080,4590.000000000,424.000000000,-0.681189565,1.239335672,319.453834184,0.000000000
1782915763.070382,0.000000000,0.153375064,0.638550505,0.925919322,-0.083768726,0.581083125,16462.407642610,3.052512236,4571.500000000,382.000000000,4232.960180484,380.000000000,413269.227595894,2441.480758080,4569.000000000,381.000000000,-0.681165596,1.239311354,319.451693215,0.002387746
1782915763.080339,0.000000000,0.153374540,0.638547434,0.925919322,-0.083787745,0.581068334,16433.240233305,3.052393620,4572.000000000,383.500000000,4233.007510797,380.000000000,413821.819761268,4272.591326640,4611.000000000,440.000000000,-0.681213533,1.239311354,318.889976367,-0.004814139
1782915763.090313,0.000000000,0.153359776,0.638460781,0.925918689,-0.083797368,0.581060938,16464.718793535,3.052334309,4571.500000000,382.000000000,4232.912849558,380.000000000,413327.006369032,2441.480758080,4549.000000000,376.000000000,-0.681237502,1.239287512,319.502964804,-0.002403099
1782915763.100506,0.000000000,0.153345276,0.638375656,0.925918055,-0.083797482,0.581060938,16427.966282291,3.052334309,4570.000000000,381.000000000,4232.865518018,380.000000000,411553.675322601,1220.740379040,4529.000000000,356.000000000,-0.681237502,1.239263670,318.789770946,0.000000000
1782915763.110345,0.000000000,0.153360038,0.638462316,0.925918689,-0.083787859,0.581068334,16379.136667129,3.052393620,4569.000000000,381.000000000,4232.865518018,380.000000000,410332.934943561,1220.740379040,4567.000000000,376.000000000,-0.681213533,1.239287512,317.840086955,0.002436176
1782915763.120335,0.000000000,0.153374802,0.638548970,0.925919322,-0.083778236,0.581075730,16425.655101406,3.052452929,4570.000000000,381.000000000,4232.912849558,380.000000000,411495.895800473,1220.740379040,4575.000000000,407.000000000,-0.681189565,1.239311354,318.740649305,0.002399314
1782915763.130365,0.000000000,0.153375064,0.638550505,0.925919322,-0.083768726,0.581083125,16423.343950480,3.052512236,4570.000000000,381.000000000,4232.960180484,380.000000000,411438.117027335,1220.740379040,4565.000000000,379.000000000,-0.681165596,1.239311354,318.693665419,0.002389562
