__time,/debug_geometry/a,/debug_geometry/b,/debug_geometry/c,/debug_geometry/d,/debug_geometry/e,/debug_geometry/f,/debug_geometry/fc,/debug_geometry/lw,/debug_geometry/median_pb,/debug_geometry/median_pr,/debug_geometry/offset_pb,/debug_geometry/offset_pr,/debug_geometry/pb,/debug_geometry/pr,/debug_geometry/raw_pb,/debug_geometry/raw_pr,/debug_geometry/theta_g,/debug_geometry/theta_t,/debug_geometry/w,omega_g
1782905037.738657,0.000000000,0.155406689,0.650329728,0.925987845,-0.068878891,0.592070579,12082.220639512,3.142648454,4578.500000000,416.000000000,4305.863672691,380.000000000,332818.173539598,43946.653645436,4575.000000000,423.000000000,-0.643870687,1.242019789,232.036033672,
1782905037.748616,0.000000000,0.155406472,0.650328486,0.925987845,-0.068888501,0.592063847,12216.679058102,3.142591916,4582.000000000,417.000000000,4305.910048314,380.000000000,337034.152269686,45167.394024476,4588.000000000,434.000000000,-0.643894655,1.242019789,234.619827505,-0.002406839
1782905037.758709,0.000000000,0.155391770,0.650244261,0.925987271,-0.068888605,0.592063847,12082.220639512,3.142591916,4578.500000000,416.000000000,4305.863672691,380.000000000,332818.173539598,43946.653645436,4552.000000000,383.000000000,-0.643894655,1.241995947,232.037570017,0.000000000
1782905037.768605,0.000000000,0.155421252,0.650413145,0.925988429,-0.068898005,0.592057115,12082.220639512,3.142535376,4578.500000000,416.000000000,4305.863672691,380.000000000,332818.173539598,43946.653645436,4543.000000000,379.000000000,-0.643918624,1.242044107,232.039106386,-0.002422031
1782905037.778633,0.000000000,0.155406472,0.650328486,0.925987845,-0.068888501,0.592063847,12221.208095786,3.142591916,4582.000000000,417.000000000,4305.817296453,380.000000000,337147.378211781,45167.394024476,4599.000000000,435.000000000,-0.643894655,1.242019789,234.706807120,0.002390243
1782905037.788939,0.000000000,0.155391770,0.650244261,0.925987271,-0.068888605,0.592063847,12365.432407449,3.142591916,4585.000000000,417.000000000,4305.863672691,380.000000000,340752.986003357,45167.394024476,4594.000000000,414.000000000,-0.643894655,1.241995947,237.476617390,0.000000000
1782905037.798726,0.000000000,0.155406472,0.650328486,0.925987845,-0.068888501,0.592063847,12218.943561964,3.142591916,4582.000000000,417.000000000,4305.863672691,380.000000000,337090.764866238,45167.394024476,4569.000000000,400.000000000,-0.643894655,1.242019789,234.663317025,0.000000000
1782905037.808568,0.000000000,0.155406472,0.650328486,0.925987845,-0.068888501,0.592063847,12048.039908899,3.142591916,4578.500000000,417.000000000,4305.863672691,380.000000000,332818.173539598,45167.394024476,4571.000000000,426.000000000,-0.643894655,1.242019789,231.381133265,0.000000000
1782905037.818549,0.000000000,0.155406472,0.650328486,0.925987845,-0.068888501,0.592063847,12008.976216769,3.142591916,4577.000000000,416.000000000,4305.863672691,380.000000000,330987.062971038,43946.653645436,4577.000000000,407.000000000,-0.643894655,1.242019789,230.630919834,0.000000000
1782905037.828711,0.000000000,0.155406472,0.650328486,0.925987845,-0.068888501,0.592063847,11974.795486156,3.142591916,4577.000000000,417.000000000,4305.863672691,380.000000000,330987.062971038,45167.394024476,4567.000000000,423.000000000,-0.643894655,1.242019789,229.974483082,0.000000000
1782905037.838864,0.000000000,0.155406472,0.650328486,0.925987845,-0.068888501,0.592063847,11974.795486156,3.142591916,4577.000000000,417.000000000,4305.863672691,380.000000000,330987.062971038,45167.394024476,4543.000000000,393.000000000,-0.643894655,1.242019789,229.974483082,0.000000000
1782905037.848913,0.000000000,0.155406472,0.650328486,0.925987845,-0.068888501,0.592063847,11974.795486156,3.142591916,4577.000000000,417.000000000,4305.863672691,380.000000000,330987.062971038,45167.394024476,4557.000000000,416.000000000,-0.643894655,1.242019789,229.974483082,0.000000000
